compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,539,539,111.3,111.3,55.6,99.5,0.523,7.49,4.7,94,True,none,
2,1095,556,107.9,109.6,54.5,97.5,0.483,6.39,5.2,95,True,none,
3,1653,558,107.5,108.9,54.1,96.6,0.457,6.79,0.2,98,True,none,
4,2203,550,109.1,108.9,53.8,98.4,0.556,6.94,1.8,93,True,none,
5,2731,528,113.6,109.8,55.8,96.8,0.506,7.32,4.0,95,True,none,
6,3273,542,110.7,109.7,54.9,97.7,0.532,7.16,1.4,92,True,none,
7,3787,514,116.7,111.4,55.3,97.6,0.528,8.45,3.1,93,True,none,
8,4333,546,109.9,111.9,55.3,99.0,0.464,7.27,3.3,94,True,none,
9,4893,560,107.1,111.5,54.9,99.0,0.546,6.72,1.1,95,True,none,
10,5463,570,105.3,109.8,52.4,98.8,0.44,6.27,0.3,95,True,none,
11,6015,552,108.7,109.4,56.5,97.5,0.51,7.17,2.7,93,True,none,
12,6572,557,107.7,107.7,55.1,99.0,0.456,6.91,1.2,93,True,none,
13,7119,547,109.7,107.7,55.0,97.8,0.476,7.13,1.0,92,True,none,
14,7671,552,108.7,108.0,56.9,98.2,0.499,7.35,5.8,95,True,none,
15,8256,585,102.6,107.4,54.8,98.3,0.523,5.97,3.4,95,True,none,
16,8781,525,114.3,108.5,56.4,96.6,0.483,8.74,3.0,96,True,none,
17,9317,536,111.9,109.3,53.4,98.1,0.546,7.49,2.8,93,True,none,
18,9863,546,109.9,109.3,55.8,96.8,0.506,7.78,4.8,95,True,none,
19,10418,555,108.1,109.2,53.8,96.7,0.51,6.98,0.8,96,True,none,
20,10971,553,108.5,110.5,55.3,97.3,0.52,7.28,3.6,99,True,none,
21,11536,565,106.2,108.9,56.2,97.2,0.557,7.07,2.5,97,True,none,
22,12071,535,112.1,108.9,54.1,97.2,0.525,7.57,0.8,95,True,none,
23,12639,568,105.6,108.1,54.7,100.0,0.514,6.44,3.2,96,True,none,
24,13197,558,107.5,108.0,55.5,97.9,0.526,6.58,1.3,93,True,none,
25,13719,523,114.7,109.1,55.2,98.4,0.466,8.01,0.2,93,True,none,
26,14270,551,108.9,109.7,56.1,99.1,0.515,7.01,1.5,92,True,none,
27,14873,603,99.5,107.0,55.6,99.1,0.523,6.23,0.9,97,True,none,
28,15421,548,109.5,107.8,54.5,98.1,0.452,6.61,2.1,100,True,none,
29,15986,565,106.2,107.5,55.1,96.9,0.506,7.01,2.2,94,True,none,
30,16522,535,112.1,107.1,57.1,98.6,0.526,7.94,2.0,91,True,none,
31,17072,550,109.1,107.1,55.5,98.9,0.48,7.14,1.4,93,True,none,
32,17610,538,111.5,109.6,53.7,98.9,0.485,7.64,4.6,100,True,none,
33,18134,525,114.3,110.6,55.4,98.8,0.469,7.92,9.7,94,True,none,
34,18662,527,113.9,112.1,56.6,96.6,0.457,8.09,4.3,95,True,none,
35,19198,536,111.9,112.1,54.0,98.5,0.488,7.24,0.2,96,True,none,
36,19752,554,108.3,111.9,56.6,96.8,0.518,6.69,0.5,100,True,none,
37,20285,533,112.6,112.1,54.8,97.5,0.479,7.87,1.1,94,True,none,
38,20827,542,110.7,111.4,55.8,98.6,0.518,7.33,2.2,94,True,none,
39,21373,546,109.9,110.7,56.3,97.4,0.533,7.39,0.7,97,True,none,
40,21925,552,108.7,110.0,56.3,98.0,0.496,7.2,1.0,97,True,none,
41,22478,553,108.5,110.1,54.2,100.0,0.524,6.63,3.5,94,True,none,
42,23028,550,109.1,109.4,55.0,97.1,0.496,6.97,2.9,96,True,none,
43,23574,546,109.9,109.2,55.4,97.4,0.485,7.41,0.7,94,True,none,
44,24125,551,108.9,109.0,53.6,96.6,0.544,6.9,0.9,94,True,none,
45,24662,537,111.7,109.6,55.0,97.0,0.475,7.44,1.0,96,True,none,
46,25227,565,106.2,109.1,54.9,98.4,0.5,6.67,0.7,97,True,none,
47,25759,532,112.8,109.8,55.0,98.5,0.477,7.96,6.5,99,True,none,
48,26300,541,110.9,110.1,57.2,97.2,0.484,7.53,6.4,94,True,none,
49,26853,553,108.5,110.0,55.3,99.9,0.515,6.97,2.7,98,True,none,
50,27438,585,102.6,108.1,56.2,97.5,0.537,6.89,0.3,92,True,none,
51,27985,547,109.7,108.8,55.0,98.0,0.496,7.44,3.2,95,True,none,
52,28537,552,108.7,108.0,55.7,96.9,0.478,7.6,1.0,93,True,none,
53,29072,535,112.1,108.2,56.2,98.1,0.529,8.28,0.7,100,True,none,
54,29634,562,106.8,107.9,54.0,98.7,0.439,6.23,3.5,98,True,none,
55,30192,558,107.5,108.9,56.5,98.1,0.498,6.75,5.1,99,True,none,
56,30734,542,110.7,109.1,52.9,97.9,0.472,7.31,1.1,93,True,none,
57,31266,532,112.8,109.9,54.9,99.0,0.476,7.81,1.6,94,True,none,
58,31796,530,113.2,110.1,54.4,96.8,0.506,7.66,2.1,100,True,none,
59,32339,543,110.5,110.9,55.6,98.8,0.431,7.27,0.8,95,True,none,
60,32917,578,103.8,110.1,56.6,97.8,0.534,6.79,9.2,97,True,none,
61,33448,531,113.0,110.5,53.4,98.2,0.468,7.05,1.9,95,True,none,
62,33995,547,109.7,109.9,55.0,99.5,0.516,7.0,4.6,96,True,none,
63,34545,550,109.1,109.1,54.1,96.6,0.517,7.64,4.2,98,True,none,
64,35087,542,110.7,109.2,54.4,97.1,0.498,7.06,0.8,96,True,none,
65,35620,533,112.6,111.0,54.4,98.8,0.523,7.27,0.3,97,True,none,
66,36187,567,105.8,109.5,54.3,98.6,0.501,6.13,4.9,95,True,none,
67,36716,529,113.4,110.3,55.6,96.3,0.501,7.49,2.0,96,True,none,
68,37261,545,110.1,110.5,56.0,97.4,0.543,7.11,1.6,98,True,none,
69,37812,551,108.9,110.1,55.6,97.8,0.495,7.05,0.3,97,True,none,
70,38352,540,111.1,109.8,55.3,97.6,0.487,7.36,1.2,95,True,none,
71,38928,576,104.2,109.4,55.9,97.7,0.47,6.53,6.1,99,True,none,
72,39482,554,108.3,108.5,55.0,99.7,0.434,7.01,2.5,97,True,none,
73,40037,555,108.1,108.1,53.5,99.1,0.568,6.74,1.9,97,True,none,
74,40585,548,109.5,108.2,54.5,97.2,0.486,6.91,0.2,98,True,none,
75,41131,546,109.9,108.0,56.0,97.5,0.511,7.13,1.3,96,True,none,
76,41656,525,114.3,110.0,55.9,99.4,0.463,8.57,2.3,97,True,none,
77,42240,584,102.7,108.8,55.7,97.9,0.504,6.1,7.3,97,True,none,
78,42795,555,108.1,108.8,55.5,98.2,0.54,7.25,5.6,95,True,none,
79,43320,525,114.3,109.7,54.0,97.9,0.546,8.06,5.1,97,True,none,
80,43860,540,111.1,109.9,54.0,96.3,0.461,7.33,3.9,98,True,none,
81,44434,574,104.5,108.0,54.7,96.5,0.498,6.48,8.1,96,True,none,
82,44992,558,107.5,109.0,56.8,99.1,0.502,6.88,7.7,96,True,none,
83,45537,545,110.1,109.4,55.2,97.9,0.484,7.17,0.1,96,True,none,
84,46088,551,108.9,108.4,54.7,99.5,0.438,7.45,3.7,92,True,none,
85,46630,542,110.7,108.3,53.6,97.2,0.538,7.73,2.8,95,True,none,
86,47152,522,114.9,110.4,54.5,98.5,0.489,8.11,0.7,94,True,none,
87,47699,547,109.7,110.8,54.6,99.2,0.491,7.39,1.8,95,True,none,
88,48222,523,114.7,111.7,55.9,97.8,0.458,8.39,2.1,96,True,none,
89,48789,567,105.8,111.1,53.7,99.8,0.497,7.11,0.6,93,True,none,
90,49344,555,108.1,110.5,55.0,99.1,0.498,7.09,1.1,97,True,none,
91,49860,516,116.3,110.8,53.7,98.7,0.51,7.9,0.1,97,True,none,
92,50397,537,111.7,111.2,55.2,97.0,0.514,7.05,3.1,98,True,none,
93,50956,559,107.3,109.7,56.7,99.0,0.501,6.78,1.9,93,True,none,
94,51486,530,113.2,111.2,55.2,97.2,0.459,7.33,2.8,96,True,none,
95,52055,569,105.4,110.7,54.1,100.0,0.521,6.65,2.6,98,True,none,
96,52606,551,108.9,109.2,57.6,97.9,0.553,7.27,0.1,99,True,none,
97,53185,579,103.6,107.6,55.7,97.4,0.453,6.85,1.9,98,True,none,
98,53731,546,109.9,108.1,54.9,98.6,0.518,6.87,1.1,98,True,none,
99,54289,558,107.5,107.0,55.8,98.5,0.506,6.58,1.3,97,True,none,
100,54812,523,114.7,108.8,53.9,99.1,0.501,7.99,0.1,97,True,none,
101,55342,530,113.2,109.6,55.1,97.5,0.486,7.65,0.7,96,True,none,
102,55864,522,114.9,112.0,54.8,97.6,0.455,8.0,3.1,100,True,none,
103,56421,557,107.7,111.5,55.1,99.1,0.489,7.43,6.9,96,True,none,
104,56992,571,105.1,111.0,56.6,97.5,0.472,6.77,4.0,97,True,none,
105,57533,541,110.9,110.3,55.0,98.2,0.494,7.11,3.0,100,True,none,
106,58089,556,107.9,109.2,53.9,98.4,0.574,7.03,0.9,98,True,none,
107,58631,542,110.7,108.4,54.4,97.4,0.483,7.66,4.3,96,True,none,
108,59189,558,107.5,108.4,54.4,98.6,0.554,6.45,4.6,98,True,none,
109,59733,544,110.3,109.4,55.3,98.3,0.476,7.98,0.5,99,True,none,
110,60276,543,110.5,109.4,55.0,99.8,0.536,7.43,0.0,96,True,none,
111,60795,519,115.6,110.9,54.5,99.0,0.489,8.54,1.8,99,True,none,
112,61353,558,107.5,110.2,55.8,98.5,0.519,7.43,4.1,100,True,none,
113,61901,548,109.5,110.6,56.2,97.2,0.538,7.27,0.1,98,True,none,
