compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,447,447,134.2,134.2,45.7,89.9,0.522,9.42,4.9,124,False,none,
2,861,414,144.9,139.4,45.4,84.5,0.517,10.4,0.4,126,False,none,
3,1317,456,131.6,136.7,44.4,87.6,0.499,8.04,1.8,117,False,slower,2.0
4,1746,429,139.9,137.5,42.5,86.8,0.456,9.34,0.2,115,False,none,
5,2174,428,140.2,138.0,46.8,91.0,0.52,10.12,0.5,114,False,none,
6,2597,423,141.8,139.5,45.2,84.6,0.498,9.98,5.7,123,False,none,
7,3018,421,142.5,139.1,41.5,82.2,0.527,9.39,4.7,121,False,none,
8,3457,440,136.4,140.1,50.0,89.7,0.478,9.93,6.5,119,False,none,
9,3881,424,141.5,140.4,45.7,87.2,0.513,9.83,0.5,119,False,none,
10,4345,463,129.6,138.2,45.8,87.1,0.509,8.5,2.9,122,False,none,
11,4789,444,135.1,136.9,43.1,87.3,0.444,8.58,0.4,120,False,none,
12,5229,441,136.1,135.6,46.4,83.9,0.513,9.16,2.9,124,False,none,
13,5693,463,129.6,134.2,43.0,89.8,0.492,7.72,4.2,123,False,none,
14,6127,435,137.9,133.6,45.7,89.4,0.45,9.0,3.9,123,False,none,
15,6566,439,136.7,135.0,43.3,85.8,0.523,8.8,0.9,117,False,slower,2.0
16,7005,439,136.7,135.3,44.6,86.4,0.548,8.89,2.9,116,False,none,
17,7444,439,136.7,135.4,45.9,87.8,0.5,9.54,1.4,118,False,none,
18,7874,429,139.9,137.6,44.9,86.7,0.548,9.52,0.8,121,False,none,
19,8299,426,140.8,138.1,47.7,86.0,0.513,10.5,0.3,124,False,none,
20,8735,435,137.9,138.4,43.0,87.4,0.515,9.64,1.9,126,False,none,
21,9180,445,134.8,138.0,44.0,85.1,0.522,8.64,5.9,121,False,none,
22,9628,448,133.9,137.4,51.2,84.2,0.559,9.98,3.3,114,False,none,
23,10080,452,132.7,136.0,44.8,86.7,0.514,8.21,0.8,129,False,none,
24,10505,425,141.2,136.1,46.8,85.8,0.489,10.12,1.9,122,False,none,
25,10936,431,139.2,136.3,48.8,86.8,0.48,10.75,2.7,116,False,none,
26,11394,458,131.0,135.5,40.7,96.4,0.509,7.72,0.2,125,False,none,
