compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,812,812,73.9,73.9,55.8,97.0,0.473,3.25,2.5,85,False,none,
2,1597,785,76.4,75.1,56.7,96.7,0.473,3.46,0.1,80,False,none,
3,2400,803,74.7,75.0,58.6,95.7,0.514,2.95,1.8,80,False,faster,2.0
4,3295,895,67.0,72.8,56.9,98.1,0.436,2.92,0.4,84,False,none,
5,4048,753,79.7,74.1,59.0,100.0,0.509,4.63,0.9,80,False,none,
6,4820,772,77.7,74.9,56.9,96.5,0.466,3.99,1.2,82,False,none,
7,5647,827,72.6,74.1,56.9,96.5,0.555,3.51,2.1,83,False,none,
8,6448,801,74.9,74.1,58.2,97.9,0.498,3.8,0.6,83,False,none,
9,7228,780,76.9,76.3,57.8,96.3,0.486,4.04,2.6,88,False,none,
10,8067,839,71.5,74.6,59.8,98.2,0.488,3.28,4.9,84,False,faster,2.0
11,8797,730,82.2,75.4,59.3,95.7,0.41,4.05,0.3,85,False,none,
12,9545,748,80.2,77.0,60.4,97.2,0.552,4.72,2.8,86,False,none,
13,10283,738,81.3,78.2,60.3,94.3,0.468,4.19,1.6,83,False,none,
14,11010,727,82.5,79.3,58.7,95.1,0.498,4.47,5.7,81,False,none,
15,11897,887,67.6,78.3,59.8,96.2,0.506,2.75,1.6,87,False,none,
16,12694,797,75.3,77.0,59.5,96.4,0.503,3.41,0.4,82,False,none,
17,13580,886,67.7,74.3,61.0,96.9,0.502,3.01,2.9,85,False,faster,2.0
18,14320,740,81.1,74.3,58.7,95.8,0.557,3.97,1.2,81,False,none,
19,15047,727,82.5,74.3,59.0,93.7,0.54,4.26,0.3,87,False,none,
20,15848,801,74.9,75.9,56.8,97.6,0.517,2.65,1.4,82,False,none,
21,16571,723,83.0,77.4,57.2,97.7,0.513,4.2,0.6,81,False,none,
22,17371,800,75.0,79.1,53.0,95.0,0.513,2.98,0.2,86,False,none,
23,18168,797,75.3,78.0,56.1,95.7,0.507,3.53,1.8,86,False,none,
24,18873,705,85.1,78.4,60.3,95.5,0.479,5.15,4.1,86,False,faster,2.0
25,19646,773,77.6,79.0,61.5,94.7,0.488,4.12,3.6,84,False,none,
26,20405,759,79.1,78.2,57.8,95.2,0.501,4.06,5.3,82,False,none,
27,21191,786,76.3,78.5,55.5,98.6,0.555,4.03,2.2,86,False,none,
28,21952,761,78.8,79.3,58.5,95.6,0.466,4.03,5.9,88,False,none,
29,22745,793,75.7,77.5,57.9,97.8,0.523,3.68,5.5,81,False,none,
30,23537,792,75.8,77.1,56.3,97.9,0.517,3.72,0.4,87,False,none,
31,24365,828,72.5,75.8,61.3,97.6,0.517,3.64,3.9,84,False,faster,2.0
32,25084,719,83.4,77.1,55.7,95.6,0.508,3.89,1.2,85,False,none,
33,25854,770,77.9,76.9,60.1,98.5,0.489,3.82,1.5,84,False,none,
34,26655,801,74.9,76.7,54.2,98.0,0.499,3.21,0.3,86,False,none,
35,27549,894,67.1,74.8,58.1,96.7,0.492,2.56,1.4,87,False,none,
36,28248,699,85.8,77.3,57.8,95.1,0.479,4.81,2.1,86,False,none,
37,29010,762,78.7,76.4,59.7,95.4,0.451,3.95,3.1,80,False,none,
38,29844,834,71.9,75.2,60.7,96.5,0.479,3.58,1.4,84,False,faster,2.0
39,30629,785,76.4,75.5,57.2,96.2,0.518,3.54,2.8,85,False,none,
40,31484,855,70.2,76.2,56.0,94.9,0.515,2.87,2.9,83,False,none,
41,32236,752,79.8,75.2,55.8,95.5,0.527,4.29,3.6,84,False,none,
42,33020,784,76.5,74.8,57.2,97.1,0.444,3.49,4.6,90,False,none,
43,33729,709,84.6,77.2,57.3,96.7,0.538,4.62,0.7,86,False,none,
44,34532,803,74.7,76.9,56.5,97.2,0.465,3.59,3.6,87,False,none,
45,35281,749,80.1,79.0,59.5,98.7,0.522,4.03,2.2,82,False,faster,2.0
46,36123,842,71.3,77.2,60.7,97.0,0.537,3.09,2.5,86,False,none,
47,36871,748,80.2,77.9,57.2,93.0,0.506,4.61,3.8,84,False,none,
48,37584,713,84.2,77.8,58.4,97.4,0.532,5.39,5.0,86,False,none,
49,38388,804,74.6,77.8,58.9,94.9,0.509,3.04,1.8,86,False,none,
50,39165,777,77.2,77.2,58.7,96.2,0.543,3.63,3.6,84,False,none,
51,39954,789,76.0,78.3,56.2,97.8,0.489,4.15,2.6,87,False,none,
52,40737,783,76.6,77.6,57.6,94.7,0.541,3.92,2.7,88,False,faster,2.0
53,41473,736,81.5,77.1,58.2,96.8,0.526,4.25,6.5,84,False,none,
54,42359,886,67.7,75.5,57.3,95.7,0.425,2.8,4.3,85,False,none,
55,43096,737,81.4,76.3,55.6,94.4,0.534,3.76,3.5,89,False,none,
56,43840,744,80.6,77.2,58.4,94.5,0.511,4.49,1.6,88,False,none,
57,44553,713,84.2,78.6,55.6,96.7,0.512,4.02,1.1,90,False,none,
58,45311,758,79.2,78.2,60.2,99.5,0.508,3.87,4.6,86,False,none,
59,46057,746,80.4,81.1,58.0,95.1,0.454,4.36,2.7,84,False,faster,2.0
60,46788,731,82.1,81.3,60.8,94.0,0.554,4.45,1.5,83,False,none,
61,47534,746,80.4,81.2,55.9,97.8,0.548,4.46,0.9,84,False,none,
62,48283,749,80.1,80.4,57.0,95.5,0.495,4.03,1.8,87,False,none,
63,49010,727,82.5,81.1,58.9,94.5,0.459,3.89,5.4,84,False,none,
64,49866,856,70.1,78.8,56.9,96.3,0.464,3.11,0.2,87,False,none,
65,50629,763,78.6,78.1,54.6,94.5,0.478,3.42,1.5,86,False,none,
66,51354,725,82.8,78.5,58.4,97.5,0.502,4.22,2.4,88,False,faster,2.0
67,52102,748,80.2,78.6,54.8,94.8,0.458,3.85,5.9,86,False,none,
68,52894,792,75.8,77.2,62.5,95.4,0.497,4.11,0.6,87,False,none,
69,53598,704,85.2,80.4,59.4,96.2,0.488,5.34,2.0,86,False,none,
70,54287,689,87.1,82.0,56.9,95.8,0.484,4.79,3.9,88,False,none,
71,55090,803,74.7,80.3,58.9,96.6,0.542,3.92,0.8,83,False,none,
72,55876,786,76.3,79.5,58.9,98.0,0.527,3.74,6.8,87,False,none,
73,56604,728,82.4,80.9,55.4,96.4,0.548,3.94,0.4,87,False,faster,2.0
74,57331,727,82.5,80.4,57.8,94.8,0.462,4.19,1.4,86,False,none,
75,58102,771,77.8,78.6,52.1,99.1,0.465,3.35,0.1,89,False,none,
76,58858,756,79.4,79.6,58.3,97.5,0.504,3.63,1.2,87,False,none,
77,59651,793,75.7,79.5,57.8,95.9,0.461,3.31,2.2,87,False,none,
