compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,556,556,107.9,107.9,32.4,94.4,0.485,4.12,3.0,89,False,none,
2,1096,540,111.1,109.5,31.2,95.4,0.484,4.15,1.5,89,False,none,
3,1667,571,105.1,108.0,34.6,97.0,0.481,4.09,3.5,89,False,push_harder,3.0
4,2212,545,110.1,108.5,32.0,95.6,0.484,4.23,1.5,90,False,none,
5,2731,519,115.6,109.8,36.4,95.3,0.513,5.48,2.4,91,False,none,
6,3229,498,120.5,112.2,34.0,94.5,0.465,5.9,1.7,88,False,none,
7,3809,580,103.4,110.6,29.3,95.9,0.463,4.0,0.3,93,False,none,
8,4359,550,109.1,111.4,34.4,96.2,0.544,4.44,1.0,90,False,none,
9,4878,519,115.6,112.5,35.8,97.3,0.499,5.68,3.3,91,False,none,
10,5403,525,114.3,112.3,33.7,99.5,0.504,4.82,1.9,86,False,none,
11,5928,525,114.3,111.2,33.5,96.2,0.502,5.15,2.9,86,False,none,
12,6488,560,107.1,112.0,33.4,97.9,0.506,4.6,1.0,89,False,none,
13,7050,562,106.8,111.5,31.3,96.4,0.54,3.6,6.4,88,False,push_harder,3.0
14,7558,508,118.1,111.9,33.1,95.7,0.488,4.79,3.7,89,False,none,
15,8102,544,110.3,111.2,37.6,95.5,0.53,5.36,2.9,93,False,none,
16,8641,539,111.3,110.6,31.4,96.3,0.476,4.26,2.3,94,False,none,
17,9211,570,105.3,110.2,30.3,96.6,0.512,3.72,0.5,90,False,none,
18,9760,549,109.3,110.7,31.0,96.7,0.511,4.33,4.1,93,False,none,
19,10325,565,106.2,108.4,36.8,96.1,0.481,4.78,4.6,89,False,none,
20,10854,529,113.4,109.0,32.5,97.7,0.511,4.67,1.0,91,False,none,
21,11407,553,108.5,108.5,32.0,96.8,0.467,4.12,2.4,88,False,none,
22,11952,545,110.1,109.4,34.6,96.6,0.475,4.76,1.3,91,False,none,
23,12500,548,109.5,109.5,33.0,94.9,0.478,5.0,1.1,91,False,push_harder,3.0
24,13046,546,109.9,110.3,35.4,95.7,0.51,4.86,0.4,92,False,none,
25,13595,549,109.3,109.4,30.7,97.8,0.495,4.04,0.2,90,False,none,
26,14127,532,112.8,110.3,30.8,96.6,0.474,4.66,1.8,91,False,none,
27,14652,525,114.3,111.1,35.6,96.8,0.532,5.34,3.7,92,False,none,
28,15183,531,113.0,111.8,31.9,97.3,0.544,4.39,3.2,92,False,none,
29,15724,541,110.9,112.0,32.7,97.3,0.501,4.82,1.3,89,False,none,
30,16262,538,111.5,112.5,33.6,94.9,0.569,4.53,9.7,93,False,none,
31,16808,546,109.9,111.9,35.0,98.7,0.517,4.1,1.9,87,False,none,
32,17365,557,107.7,110.6,30.6,94.7,0.504,3.65,6.1,92,False,none,
33,17901,536,111.9,110.4,32.1,96.8,0.516,4.0,2.1,90,False,push_harder,3.0
34,18445,544,110.3,110.3,31.0,96.8,0.456,4.19,4.3,86,False,none,
35,19001,556,107.9,109.5,35.5,96.6,0.561,3.94,0.3,89,False,none,
36,19543,542,110.7,109.7,33.6,97.0,0.501,4.77,0.7,89,False,none,
37,20119,576,104.2,108.9,34.3,96.4,0.477,3.94,2.3,93,False,none,
38,20689,570,105.3,107.6,29.3,95.8,0.49,3.54,0.5,87,False,none,
39,21225,536,111.9,107.9,33.9,96.4,0.539,4.4,0.5,92,False,none,
40,21758,533,112.6,108.8,33.5,96.8,0.506,4.56,0.5,91,False,none,
41,22297,539,111.3,108.9,30.2,95.4,0.515,4.15,2.7,89,False,none,
42,22810,513,117.0,111.5,34.3,97.8,0.503,5.27,2.6,89,False,none,
43,23338,528,113.6,113.3,32.2,96.9,0.508,4.21,1.2,90,False,push_harder,3.0
44,23885,547,109.7,112.8,31.7,98.2,0.514,4.32,3.5,89,False,none,
45,24424,539,111.3,112.5,35.1,95.6,0.511,4.65,3.7,89,False,none,
46,24974,550,109.1,112.1,31.8,96.3,0.525,3.73,4.8,93,False,none,
47,25501,527,113.9,111.5,32.7,95.6,0.467,4.8,3.9,90,False,none,
48,26048,547,109.7,110.7,30.2,97.6,0.476,3.93,1.4,90,False,none,
49,26590,542,110.7,110.9,32.3,96.3,0.53,4.83,0.4,92,False,none,
50,27151,561,107.0,110.0,30.8,95.5,0.507,4.22,2.9,90,False,none,
51,27709,558,107.5,109.7,33.6,97.2,0.516,3.99,0.2,88,False,none,
52,28275,566,106.0,108.1,33.3,97.8,0.443,4.28,2.4,93,False,none,
53,28840,565,106.2,107.4,35.8,97.7,0.496,4.54,1.7,92,False,push_harder,3.0
54,29355,515,116.5,108.5,36.2,96.7,0.478,4.97,1.8,94,False,none,
55,29917,562,106.8,108.5,35.0,96.2,0.516,4.35,0.3,88,False,none,
56,30453,536,111.9,109.3,36.7,97.2,0.49,4.56,0.8,91,False,none,
57,30996,543,110.5,110.3,30.6,97.2,0.523,4.56,2.7,93,False,none,
58,31546,550,109.1,110.9,35.5,95.7,0.537,4.4,1.1,91,False,none,
59,32058,512,117.2,111.0,32.2,97.9,0.462,4.97,0.8,93,False,none,
60,32585,527,113.9,112.4,37.4,97.6,0.493,5.13,0.3,91,False,none,
61,33121,536,111.9,112.4,31.5,98.9,0.511,4.56,1.8,92,False,none,
62,33633,512,117.2,113.8,37.0,98.3,0.503,5.25,1.0,91,False,none,
63,34177,544,110.3,114.0,34.0,98.4,0.549,4.22,4.1,93,False,push_harder,3.0
64,34675,498,120.5,114.6,33.5,94.9,0.477,5.17,5.8,93,False,none,
65,35230,555,108.1,113.4,29.0,97.8,0.49,3.73,6.2,88,False,none,
66,35764,534,112.4,113.5,31.3,97.0,0.518,4.47,4.1,92,False,none,
67,36327,563,106.6,111.4,32.0,97.6,0.506,3.57,3.0,92,False,none,
68,36864,537,111.7,111.6,32.0,97.7,0.457,4.36,6.5,91,False,none,
69,37441,577,104.0,108.5,31.6,96.7,0.524,3.67,4.8,90,False,none,
70,37956,515,116.5,110.1,30.7,94.2,0.493,4.86,1.6,90,False,none,
71,38490,534,112.4,110.1,33.4,97.8,0.488,4.72,2.8,89,False,none,
72,39073,583,102.9,109.2,32.8,97.4,0.506,3.86,1.4,91,False,none,
73,39631,558,107.5,108.4,35.9,97.4,0.508,4.48,2.2,94,False,push_harder,3.0
74,40191,560,107.1,109.1,31.0,96.4,0.532,3.99,3.6,93,False,none,
75,40719,528,113.6,108.6,29.9,96.9,0.44,4.27,1.1,91,False,none,
76,41263,544,110.3,108.2,34.3,96.3,0.493,4.0,3.9,96,False,none,
77,41801,538,111.5,110.0,35.3,96.6,0.507,5.24,0.3,90,False,none,
78,42318,517,116.1,111.6,34.2,96.4,0.477,5.07,4.5,92,False,none,
79,42864,546,109.9,112.2,32.9,97.2,0.507,4.76,0.6,92,False,none,
80,43386,522,114.9,112.5,36.1,95.5,0.443,5.12,0.7,96,False,none,
81,43919,533,112.6,113.0,31.8,96.9,0.467,4.48,0.9,94,False,none,
82,44502,583,102.9,111.1,31.5,98.7,0.538,3.66,3.2,92,False,none,
83,45042,540,111.1,110.1,32.9,97.3,0.549,4.45,1.9,94,False,push_harder,3.0
