compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,539,539,111.3,111.3,67.7,96.4,0.501,9.83,1.6,103,False,none,
2,1104,565,106.2,108.7,62.6,92.9,0.519,7.79,3.0,101,False,none,
3,1720,616,97.4,104.7,67.7,92.4,0.506,7.1,2.0,105,False,ease_up,3.0
4,2275,555,108.1,105.5,65.3,91.1,0.525,8.54,1.5,105,False,none,
5,2819,544,110.3,106.4,69.1,91.3,0.528,8.93,3.2,102,False,none,
6,3386,567,105.8,105.4,64.8,94.7,0.488,8.21,0.3,104,False,none,
7,3950,564,106.4,105.4,65.3,93.9,0.518,7.36,0.6,102,False,none,
8,4470,520,115.4,109.1,66.1,89.6,0.528,9.33,3.8,109,False,none,
9,5015,545,110.1,109.5,67.9,92.3,0.433,8.88,5.3,105,False,none,
10,5559,544,110.3,109.5,65.6,95.4,0.515,8.67,1.0,109,False,none,
11,6131,572,104.9,109.3,68.4,95.4,0.503,8.02,2.6,99,False,none,
12,6705,574,104.5,108.9,65.8,93.0,0.509,7.97,3.8,109,False,none,
13,7250,545,110.1,107.9,63.1,95.3,0.535,8.94,2.5,109,False,ease_up,3.0
14,7792,542,110.7,108.0,69.1,94.8,0.539,9.41,1.0,106,False,none,
15,8342,550,109.1,107.8,69.1,95.0,0.532,9.25,4.2,104,False,none,
16,8914,572,104.9,107.8,64.9,95.1,0.483,7.35,1.3,105,False,none,
17,9459,546,109.9,108.9,68.0,92.1,0.55,8.87,2.6,104,False,none,
18,10040,581,103.3,107.5,61.6,91.6,0.512,6.8,4.8,103,False,none,
19,10604,563,106.6,106.7,68.7,94.5,0.532,8.54,3.6,108,False,none,
20,11149,546,109.9,106.8,66.6,92.2,0.473,8.92,1.0,104,False,none,
21,11727,578,103.8,106.6,68.2,98.2,0.523,8.41,4.2,109,False,none,
22,12274,547,109.7,106.6,67.4,95.9,0.481,8.63,2.2,107,False,ease_up,3.0
23,12822,548,109.5,107.8,66.5,95.5,0.482,9.32,5.5,103,False,none,
24,13383,560,107.1,108.0,66.7,93.9,0.525,8.33,4.2,107,False,none,
25,13914,531,113.0,108.5,66.8,93.4,0.52,9.46,1.6,103,False,none,
26,14509,595,100.8,107.9,64.8,94.4,0.463,7.05,2.6,108,False,none,
27,15050,541,110.9,108.1,65.5,93.4,0.493,8.66,2.2,108,False,none,
28,15647,597,100.5,106.2,65.6,95.7,0.524,6.97,0.0,107,False,none,
29,16222,576,104.2,105.6,69.6,95.8,0.506,7.95,1.8,105,False,none,
30,16737,514,116.7,106.3,67.0,94.3,0.539,10.4,1.3,105,False,none,
31,17308,572,104.9,107.1,71.1,96.6,0.515,8.5,1.0,103,False,ease_up,3.0
32,17843,535,112.1,107.4,67.2,90.0,0.491,9.11,0.2,111,False,none,
33,18342,498,120.5,111.3,67.0,93.8,0.523,11.18,2.7,105,False,none,
34,18913,571,105.1,111.5,65.3,92.5,0.484,8.04,4.6,110,False,none,
35,19477,564,106.4,109.5,65.3,88.2,0.415,7.74,6.1,108,False,none,
36,20026,549,109.3,110.4,66.4,96.8,0.499,9.19,4.2,108,False,none,
37,20595,569,105.4,109.1,66.4,95.3,0.565,8.28,2.1,107,False,none,
38,21137,543,110.5,107.3,67.6,92.4,0.486,8.97,1.7,111,False,none,
39,21683,546,109.9,108.3,65.4,97.3,0.451,8.67,2.0,104,False,none,
40,22217,533,112.6,109.5,69.1,92.1,0.508,9.93,2.6,109,False,none,
41,22765,548,109.5,109.5,70.7,92.6,0.471,9.49,2.4,104,False,ease_up,3.0
42,23327,562,106.8,109.8,66.8,94.5,0.494,8.51,0.6,110,False,none,
43,23897,570,105.3,108.7,67.3,93.1,0.517,7.75,2.0,104,False,none,
44,24444,547,109.7,108.7,70.5,93.0,0.518,9.29,1.8,110,False,none,
45,25000,556,107.9,107.8,67.2,93.9,0.503,8.94,2.2,114,False,none,
46,25553,553,108.5,107.6,67.1,93.4,0.485,7.71,0.6,107,False,none,
47,26092,539,111.3,108.5,64.0,93.9,0.529,8.84,0.9,104,False,none,
48,26655,563,106.6,108.8,63.6,95.4,0.512,8.07,0.0,109,False,none,
49,27190,535,112.1,109.2,67.3,91.8,0.492,9.32,3.3,105,False,none,
50,27741,551,108.9,109.4,65.7,94.6,0.522,8.92,2.0,103,False,none,
51,28320,579,103.6,108.4,68.7,94.8,0.492,8.16,3.5,104,False,ease_up,3.0
52,28878,558,107.5,107.7,67.0,92.1,0.523,8.51,7.0,109,False,none,
53,29453,575,104.3,107.2,64.3,87.6,0.471,7.76,5.1,108,False,none,
54,29977,524,114.5,107.6,68.8,92.7,0.488,9.84,0.8,101,False,none,
55,30537,560,107.1,107.3,66.6,91.5,0.522,7.8,6.2,109,False,none,
56,31087,550,109.1,108.4,63.5,92.6,0.52,7.81,2.2,107,False,none,
57,31622,535,112.1,109.3,68.9,90.2,0.493,9.26,0.9,110,False,none,
58,32150,528,113.6,111.2,68.6,93.4,0.5,9.65,2.5,107,False,none,
59,32710,560,107.1,109.8,67.2,95.6,0.464,8.15,2.6,111,False,none,
60,33269,559,107.3,109.8,62.2,94.2,0.48,7.63,4.1,106,False,none,
61,33833,564,106.4,109.2,68.7,93.7,0.484,8.69,6.5,111,False,ease_up,3.0
62,34402,569,105.4,107.9,60.4,99.1,0.57,7.41,3.5,110,False,none,
63,34963,561,107.0,106.6,67.3,93.7,0.459,8.2,2.1,107,False,none,
64,35491,528,113.6,107.9,67.5,93.9,0.541,9.4,9.2,108,False,none,
65,36062,571,105.1,107.4,65.5,92.0,0.529,8.06,2.0,104,False,none,
66,36629,567,105.8,107.3,64.9,95.0,0.548,7.82,2.3,110,False,none,
67,37192,563,106.6,107.5,64.9,91.6,0.5,8.05,3.2,107,False,none,
68,37746,554,108.3,107.8,68.7,95.2,0.489,8.53,3.1,107,False,none,
69,38310,564,106.4,106.4,65.8,91.7,0.54,7.91,1.6,109,False,none,
70,38859,549,109.3,107.3,63.8,94.4,0.539,8.25,4.1,112,False,ease_up,3.0
71,39401,542,110.7,108.2,68.5,96.8,0.507,9.05,1.3,110,False,none,
72,39968,567,105.8,108.1,69.7,89.6,0.516,8.9,1.4,113,False,none,
73,40543,575,104.3,107.3,69.5,91.2,0.478,8.23,0.2,110,False,none,
74,41097,554,108.3,107.6,65.2,91.3,0.538,8.51,0.7,107,False,none,
75,41659,562,106.8,107.1,67.8,91.2,0.515,8.79,0.2,108,False,none,
76,42200,541,110.9,107.2,66.7,94.6,0.534,8.93,2.8,107,False,none,
77,42782,582,103.1,106.6,70.8,93.8,0.459,7.63,4.4,106,False,none,
78,43324,542,110.7,107.9,68.0,89.6,0.496,9.4,0.9,105,False,none,
79,43899,575,104.3,107.1,66.4,94.1,0.52,8.65,6.3,109,False,ease_up,3.0
80,44464,565,106.2,107.0,65.4,93.9,0.475,9.02,2.4,111,False,none,
81,45016,552,108.7,106.5,62.5,93.3,0.515,7.72,3.1,111,False,none,
82,45577,561,107.0,107.3,71.0,95.5,0.485,8.83,0.2,109,False,none,
83,46190,613,97.9,104.7,67.4,94.8,0.452,6.86,0.6,109,False,none,
84,46704,514,116.7,107.0,64.4,93.1,0.538,9.63,3.7,113,False,none,
85,47260,556,107.9,107.3,68.8,98.8,0.511,8.58,4.9,116,False,none,
86,47783,523,114.7,108.4,66.6,92.4,0.499,9.93,6.2,112,False,none,
87,48324,541,110.9,109.2,68.8,94.7,0.466,9.2,3.6,110,False,none,
88,48872,548,109.5,111.9,66.7,93.2,0.46,9.08,1.0,108,False,none,
89,49417,545,110.1,110.6,67.1,97.2,0.493,9.0,3.5,109,False,ease_up,3.0
90,49941,524,114.5,111.9,67.5,94.2,0.544,10.02,1.0,110,False,none,
91,50508,567,105.8,110.1,67.2,91.9,0.515,8.95,0.1,112,False,none,
92,51051,543,110.5,110.0,62.4,92.6,0.49,8.87,0.3,105,False,none,
93,51579,528,113.6,110.8,65.1,94.1,0.502,9.37,0.7,113,False,none,
94,52133,554,108.3,110.5,64.4,94.1,0.576,8.31,1.4,106,False,none,
95,52665,532,112.8,110.1,66.7,95.0,0.525,9.12,4.7,115,False,none,
96,53228,563,106.6,110.3,66.4,93.9,0.5,8.06,0.8,112,False,none,
97,53783,555,108.1,109.8,68.1,95.7,0.502,8.86,4.7,111,False,none,
98,54345,562,106.8,108.5,65.3,92.7,0.488,8.32,3.1,108,False,none,
99,54893,548,109.5,108.7,66.7,93.6,0.474,8.86,6.8,112,False,ease_up,3.0
100,55435,542,110.7,108.3,64.8,94.0,0.466,9.59,0.6,110,False,none,
101,55953,518,115.8,110.1,66.8,94.0,0.495,10.12,1.5,112,False,none,
102,56497,544,110.3,110.5,67.8,91.5,0.554,8.74,1.6,109,False,none,
103,57035,538,111.5,111.5,66.7,94.0,0.511,8.96,0.6,111,False,none,
104,57549,514,116.7,113.0,66.1,94.4,0.499,10.39,1.9,108,False,none,
105,58089,540,111.1,113.0,62.4,93.1,0.528,8.34,2.5,113,False,none,
106,58639,550,109.1,111.7,67.4,95.5,0.485,9.04,3.5,118,False,none,
107,59206,567,105.8,110.7,67.3,91.8,0.515,8.38,1.1,110,False,none,
108,59750,544,110.3,110.5,65.7,91.6,0.472,8.77,0.7,116,False,none,
