compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,566,566,106.0,106.0,53.9,72.9,0.492,6.79,3.2,105,False,none,
2,1152,586,102.4,104.2,50.9,73.6,0.475,6.1,0.3,100,False,none,
3,1709,557,107.7,105.3,54.5,70.0,0.513,6.46,2.5,98,False,let_chest_up,4.0
4,2265,556,107.9,106.0,52.3,65.6,0.478,6.34,1.2,97,False,none,
5,2871,606,99.0,104.5,54.9,67.7,0.475,6.02,3.6,101,False,none,
6,3407,536,111.9,105.6,51.0,72.2,0.521,7.78,3.6,104,False,none,
7,3979,572,104.9,106.1,50.8,66.2,0.52,6.15,1.9,98,False,none,
8,4533,554,108.3,106.2,55.4,71.2,0.527,7.54,1.8,96,False,none,
9,5079,546,109.9,106.6,50.8,67.2,0.523,6.67,0.2,104,False,none,
10,5631,552,108.7,108.7,52.7,69.1,0.532,6.99,0.8,103,False,none,
11,6173,542,110.7,108.5,51.9,67.1,0.506,7.34,2.4,99,False,none,
12,6731,558,107.5,109.0,50.7,69.3,0.464,6.59,0.7,99,False,let_chest_up,4.0
13,7278,547,109.7,109.3,53.3,70.0,0.448,7.1,1.4,99,False,none,
14,7835,557,107.7,108.9,53.4,73.6,0.476,6.64,1.5,98,False,none,
15,8406,571,105.1,108.1,51.4,71.3,0.55,6.06,1.0,95,False,none,
16,8928,522,114.9,108.9,50.0,70.1,0.535,7.36,0.5,102,False,none,
17,9504,576,104.2,108.2,50.6,67.3,0.503,5.93,0.1,95,False,none,
18,10043,539,111.3,108.5,52.7,65.5,0.548,7.07,1.5,104,False,none,
19,10592,549,109.3,108.8,51.4,69.8,0.433,6.95,7.7,102,False,none,
20,11132,540,111.1,110.1,52.1,68.1,0.501,7.56,2.5,98,False,none,
21,11649,517,116.1,110.3,51.0,63.5,0.504,7.58,0.3,98,False,none,
22,12232,583,102.9,110.0,53.4,72.2,0.488,6.29,3.6,95,False,let_chest_up,4.0
23,12783,551,108.9,109.5,51.7,70.0,0.534,7.07,0.6,96,False,none,
24,13336,553,108.5,109.3,51.9,72.6,0.441,6.89,1.1,98,False,none,
