compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,533,533,112.6,112.6,56.1,99.4,0.478,7.82,0.7,83,True,none,
2,1087,554,108.3,110.4,54.3,98.6,0.474,7.3,7.0,84,True,none,
3,1616,529,113.4,111.4,57.5,95.4,0.469,7.85,0.6,90,True,none,
4,2140,524,114.5,112.1,56.8,97.2,0.506,8.2,2.3,88,True,none,
5,2658,518,115.8,112.9,57.7,100.0,0.484,8.05,0.9,85,True,none,
6,3185,527,113.9,113.1,54.7,95.5,0.529,7.6,0.1,93,True,none,
7,3735,550,109.1,113.3,55.8,99.1,0.489,7.22,0.2,91,True,none,
8,4299,564,106.4,111.8,58.7,95.9,0.513,7.02,2.2,86,True,none,
9,4830,531,113.0,111.5,55.9,94.5,0.454,8.09,3.8,89,False,none,
10,5350,520,115.4,111.4,57.5,97.3,0.504,8.52,2.7,88,True,none,
11,5877,527,113.9,111.4,56.2,97.0,0.526,7.63,4.8,89,True,none,
12,6407,531,113.0,112.2,53.1,100.0,0.535,7.21,1.3,89,True,none,
13,6971,564,106.4,112.2,57.3,95.2,0.496,7.4,8.1,87,True,none,
14,7523,552,108.7,111.4,55.2,96.6,0.556,6.82,6.9,88,True,none,
15,8106,582,103.1,108.9,55.0,97.5,0.504,6.21,3.0,90,True,none,
16,8634,528,113.6,108.8,54.2,93.9,0.541,7.32,0.8,90,False,none,
17,9166,532,112.8,108.8,55.4,100.0,0.512,7.62,4.3,92,True,none,
18,9691,525,114.3,110.3,55.9,96.4,0.529,7.26,0.7,90,True,none,
19,10241,550,109.1,110.4,54.3,97.8,0.528,6.8,4.0,90,True,none,
20,10798,557,107.7,111.4,56.2,98.3,0.489,7.45,1.7,84,True,none,
21,11320,522,114.9,111.7,54.8,92.5,0.49,7.53,3.0,97,False,none,
22,11861,541,110.9,111.3,55.1,97.5,0.529,7.47,0.2,89,True,none,
23,12402,541,110.9,110.7,54.7,98.3,0.503,7.06,1.2,91,True,none,
24,12934,532,112.8,111.4,53.4,96.8,0.531,7.5,2.8,92,True,none,
25,13472,538,111.5,112.2,53.6,98.1,0.544,7.22,0.7,98,True,none,
26,14017,545,110.1,111.2,53.3,98.0,0.482,6.75,1.0,88,True,none,
27,14538,521,115.2,112.1,56.5,98.8,0.526,8.51,2.4,84,True,none,
28,15081,543,110.5,112.0,54.8,98.9,0.521,7.52,3.3,87,True,none,
29,15593,512,117.2,112.8,56.4,96.2,0.539,8.5,1.2,98,True,none,
