compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,525,525,114.3,114.3,55.3,97.9,0.541,7.85,0.9,96,True,none,
2,1084,559,107.3,110.7,54.8,99.7,0.487,6.74,4.6,93,True,none,
3,1631,547,109.7,110.4,54.8,96.2,0.548,7.27,3.5,95,True,none,
4,2194,563,106.6,109.4,55.8,99.1,0.465,6.36,0.5,96,True,none,
5,2756,562,106.8,108.9,55.3,99.1,0.504,6.52,7.6,95,True,none,
6,3287,531,113.0,108.6,53.3,97.3,0.548,7.66,0.6,94,True,none,
7,3854,567,105.8,108.3,55.0,98.7,0.48,7.08,0.9,94,True,none,
8,4396,542,110.7,108.5,55.5,96.8,0.54,7.58,0.1,95,True,none,
9,4935,539,111.3,109.4,55.2,98.3,0.455,6.96,0.9,96,True,none,
10,5471,536,111.9,110.5,54.8,98.9,0.49,7.19,0.2,96,True,none,
11,6018,547,109.7,109.8,54.8,97.9,0.501,7.58,0.3,92,True,none,
12,6548,530,113.2,111.4,55.5,97.6,0.522,7.97,4.5,93,True,none,
13,7078,530,113.2,111.9,53.4,99.5,0.465,7.97,1.0,99,True,none,
14,7604,526,114.1,112.4,54.9,99.6,0.488,7.92,4.1,95,True,none,
15,8165,561,107.0,111.4,54.9,97.4,0.538,6.78,3.5,97,True,none,
16,8703,538,111.5,111.7,53.7,96.8,0.531,7.18,1.0,96,True,none,
17,9265,562,106.8,110.4,54.0,97.7,0.513,6.89,4.6,97,True,none,
18,9805,540,111.1,110.0,56.1,97.7,0.522,7.86,4.8,96,True,none,
19,10373,568,105.6,108.3,52.8,96.6,0.502,6.47,1.8,97,True,none,
20,10901,528,113.6,109.6,55.6,99.0,0.508,8.47,0.7,98,True,none,
21,11450,549,109.3,109.2,54.8,99.1,0.495,7.42,0.0,94,True,none,
22,11987,537,111.7,110.2,54.6,96.3,0.513,7.33,1.5,95,True,none,
23,12530,543,110.5,110.1,56.0,98.6,0.517,7.36,0.9,95,True,none,
24,13084,554,108.3,110.7,54.5,97.9,0.498,7.33,2.8,97,True,none,
25,13622,538,111.5,110.3,55.3,98.3,0.465,7.55,1.9,94,True,none,
26,14153,531,113.0,111.0,56.3,97.5,0.488,7.74,0.3,94,True,none,
27,14705,552,108.7,110.4,54.8,97.9,0.548,7.22,0.3,93,True,none,
28,15228,523,114.7,111.2,55.6,98.3,0.542,7.57,4.6,94,True,none,
29,15785,557,107.7,111.1,56.7,97.5,0.449,7.13,3.4,95,True,none,
30,16293,508,118.1,112.3,55.2,98.9,0.516,8.17,3.6,93,True,none,
31,16862,569,105.4,110.7,56.2,98.3,0.494,6.73,0.9,94,True,none,
32,17375,514,116.7,112.3,53.5,98.2,0.501,7.81,5.3,95,True,none,
33,17930,555,108.1,111.0,55.1,97.9,0.45,6.66,1.6,99,True,none,
34,18461,531,113.0,112.1,55.8,97.9,0.477,7.48,0.9,96,True,none,
35,18987,526,114.1,111.3,56.3,96.3,0.461,8.54,1.3,95,True,none,
36,19523,536,111.9,112.7,54.2,96.9,0.545,7.37,5.8,102,True,none,
37,20051,528,113.6,112.1,54.1,98.7,0.487,7.08,5.4,96,True,none,
38,20605,554,108.3,112.1,54.0,99.0,0.512,6.39,1.3,95,True,none,
39,21148,543,110.5,111.6,56.1,98.1,0.424,7.73,0.6,95,True,none,
40,21696,548,109.5,110.7,55.0,98.9,0.512,7.33,4.7,95,True,none,
41,22212,516,116.3,111.6,54.2,97.3,0.525,7.72,1.3,97,True,none,
42,22725,513,117.0,112.2,56.0,98.9,0.531,8.51,0.7,98,True,none,
43,23241,516,116.3,113.8,56.1,97.9,0.47,7.85,0.9,97,True,none,
44,23772,530,113.2,114.4,54.6,97.6,0.511,7.18,4.3,97,True,none,
45,24340,568,105.6,113.5,55.2,98.6,0.526,6.66,1.7,100,True,none,
46,24878,538,111.5,112.6,56.4,97.8,0.502,7.7,2.8,97,True,none,
47,25420,542,110.7,111.4,55.0,97.8,0.49,7.62,1.8,98,True,none,
48,25970,550,109.1,110.0,54.0,98.2,0.522,7.19,2.0,93,True,none,
49,26523,553,108.5,109.1,56.4,99.4,0.455,7.33,3.3,97,True,none,
50,27091,568,105.6,109.1,56.0,98.4,0.51,6.83,1.8,94,True,none,
51,27626,535,112.1,109.2,52.9,99.2,0.468,7.35,0.0,96,True,none,
52,28164,538,111.5,109.3,54.3,98.4,0.524,7.93,3.1,96,True,none,
53,28734,570,105.3,108.5,54.8,98.0,0.486,6.87,1.9,98,True,none,
54,29293,559,107.3,108.3,55.7,97.6,0.554,6.98,1.9,94,True,none,
55,29840,547,109.7,109.1,54.6,99.4,0.488,6.93,1.7,97,True,none,
56,30380,540,111.1,108.9,56.7,98.4,0.508,7.61,0.9,98,True,none,
57,30924,544,110.3,108.7,55.9,98.0,0.561,7.27,5.9,96,True,none,
