compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,538,538,111.5,111.5,54.8,95.8,0.483,7.76,0.2,96,True,none,
2,1059,521,115.2,113.3,57.0,95.9,0.493,7.94,3.3,92,True,none,
3,1623,564,106.4,110.9,55.9,96.7,0.462,6.86,0.3,101,True,none,
4,2173,550,109.1,110.4,53.8,96.3,0.523,6.87,2.2,95,True,none,
5,2710,537,111.7,110.7,55.2,98.3,0.53,7.49,0.9,95,True,none,
6,3249,539,111.3,110.7,54.7,97.1,0.497,7.39,1.5,93,True,none,
7,3805,556,107.9,109.2,55.8,96.4,0.489,7.34,0.6,93,True,none,
8,4331,526,114.1,110.8,53.0,95.9,0.501,7.47,1.5,98,True,none,
9,4868,537,111.7,111.3,55.6,96.7,0.508,7.66,1.2,96,True,none,
10,5395,527,113.9,111.7,55.0,95.1,0.49,7.8,4.3,96,True,none,
11,5916,521,115.2,112.5,53.9,94.5,0.42,7.7,4.0,97,False,none,
12,6449,533,112.6,113.5,55.3,95.4,0.464,7.58,3.6,96,True,none,
13,7009,560,107.1,112.0,54.4,94.5,0.56,6.19,4.0,96,False,none,
14,7581,572,104.9,110.6,55.3,96.2,0.422,6.87,0.1,94,True,none,
15,8117,536,111.9,110.2,54.9,95.9,0.511,7.93,0.8,95,True,none,
16,8666,549,109.3,109.1,55.1,98.0,0.502,7.49,3.4,94,True,none,
17,9188,522,114.9,109.5,55.0,96.1,0.463,7.84,1.1,98,True,none,
18,9725,537,111.7,110.5,54.2,100.0,0.477,7.36,2.7,94,True,none,
19,10275,550,109.1,111.4,55.2,100.0,0.527,7.67,1.4,94,True,none,
20,10847,572,104.9,109.9,54.7,97.7,0.499,6.43,3.0,98,True,none,
21,11377,530,113.2,110.7,54.9,98.5,0.462,7.78,2.7,91,True,none,
22,11936,559,107.3,109.2,55.8,99.4,0.477,6.81,5.0,94,True,none,
23,12512,576,104.2,107.6,55.8,98.2,0.49,6.79,2.4,98,True,none,
24,13054,542,110.7,108.0,53.5,97.4,0.557,7.41,0.7,91,True,none,
25,13609,555,108.1,108.6,54.0,98.0,0.503,7.24,3.4,94,True,none,
26,14165,556,107.9,107.6,57.0,98.1,0.514,6.54,1.6,95,True,none,
27,14736,572,104.9,107.1,55.1,98.6,0.47,6.56,1.4,96,True,none,
28,15267,531,113.0,108.9,55.5,96.2,0.488,7.94,2.2,93,True,none,
29,15813,546,109.9,108.7,55.0,96.6,0.513,7.33,9.3,97,True,none,
31,20455,536,111.9,109.4,55.1,96.0,0.453,7.0,3.4,97,True,none,
32,20990,535,112.1,110.3,55.3,96.7,0.501,7.96,2.3,96,True,none,
33,21563,573,104.7,110.3,55.8,96.6,0.495,6.83,2.9,98,True,none,
34,22081,518,115.8,110.8,54.1,97.2,0.544,7.53,7.1,96,True,none,
35,22650,569,105.4,109.8,56.5,98.1,0.495,6.77,2.2,96,True,none,
36,23165,515,116.5,110.7,54.9,98.6,0.527,8.19,2.7,99,True,none,
37,23705,540,111.1,110.5,53.5,100.0,0.502,7.5,2.6,98,True,none,
38,24263,558,107.5,111.1,56.4,94.8,0.524,7.34,1.5,94,False,none,
39,24791,528,113.6,110.7,53.2,97.7,0.387,7.83,1.0,97,True,none,
40,25309,518,115.8,112.8,53.1,94.0,0.454,7.9,2.2,92,False,none,
41,25836,527,113.9,112.3,56.0,99.2,0.503,8.37,4.1,96,True,none,
42,26359,523,114.7,113.0,53.0,94.7,0.48,7.82,3.5,95,False,none,
43,26903,544,110.3,113.6,56.3,97.5,0.504,7.88,0.1,95,True,none,
44,27435,532,112.8,113.5,55.9,98.3,0.534,7.38,0.0,96,True,none,
45,28001,566,106.0,111.4,54.5,98.2,0.527,6.78,3.3,94,True,none,
46,28541,540,111.1,110.9,54.0,96.7,0.46,7.21,5.4,94,True,none,
47,29091,550,109.1,109.8,54.7,97.1,0.46,7.28,1.1,97,True,none,
48,29638,547,109.7,109.7,54.8,98.4,0.498,7.4,2.7,97,True,none,
49,30170,532,112.8,109.7,53.9,96.7,0.541,7.25,0.6,98,True,none,
50,30719,549,109.3,110.4,54.9,96.7,0.546,7.28,4.7,100,True,none,
51,31256,537,111.7,110.5,56.3,95.8,0.592,7.74,3.0,100,True,none,
52,31799,543,110.5,110.8,53.9,96.8,0.504,7.17,8.7,95,True,none,
53,32345,546,109.9,110.8,54.6,98.6,0.492,7.71,0.9,96,True,none,
54,32891,546,109.9,110.3,53.3,93.8,0.485,6.53,1.2,98,False,none,
56,37488,546,109.9,110.4,55.4,98.7,0.51,6.6,1.3,97,True,none,
57,38022,534,112.4,110.5,54.6,99.2,0.499,7.04,4.4,95,True,none,
58,38590,568,105.6,109.5,55.7,95.5,0.481,7.07,4.0,95,True,none,
59,39122,532,112.8,110.1,55.7,98.7,0.483,7.91,4.3,94,True,none,
60,39683,561,107.0,109.4,55.1,96.5,0.548,6.41,1.2,97,True,none,
61,40220,537,111.7,109.8,55.2,100.0,0.536,7.53,0.1,99,True,none,
62,40782,562,106.8,108.7,53.9,98.4,0.521,6.8,1.1,97,True,none,
63,41363,581,103.3,108.2,56.4,95.0,0.536,6.82,1.4,98,True,none,
64,41899,536,111.9,108.0,56.0,93.4,0.508,7.96,3.3,100,False,none,
65,42447,548,109.5,108.5,56.1,97.0,0.53,7.39,0.2,97,True,none,
66,43003,556,107.9,107.8,53.9,98.1,0.493,6.87,1.1,97,True,none,
67,43561,558,107.5,108.0,55.6,95.0,0.493,7.05,1.8,96,True,none,
68,44078,517,116.1,110.5,52.7,96.1,0.469,7.63,0.8,97,True,none,
69,44621,543,110.5,110.2,54.3,100.0,0.497,6.78,5.8,101,True,none,
70,45162,541,110.9,110.5,55.0,96.3,0.449,7.47,5.2,100,True,none,
71,45695,533,112.6,111.4,55.4,97.4,0.559,7.99,4.2,99,True,none,
72,46232,537,111.7,112.3,53.8,97.7,0.497,6.96,3.4,99,True,none,
73,46772,540,111.1,111.4,54.1,95.6,0.479,7.58,5.1,99,True,none,
74,47304,532,112.8,111.8,55.0,94.8,0.518,7.92,4.5,95,False,none,
75,47823,519,115.6,112.7,52.5,99.2,0.461,7.67,1.1,94,True,none,
76,48379,556,107.9,111.8,55.3,96.3,0.536,7.03,2.9,98,True,none,
77,48892,513,117.0,112.8,55.5,96.1,0.554,8.33,2.4,97,True,none,
78,49448,556,107.9,112.1,55.4,97.1,0.475,6.96,2.4,97,True,none,
79,49977,529,113.4,112.2,57.1,98.0,0.458,8.32,0.2,92,True,none,
81,54656,555,108.1,110.7,56.1,97.2,0.504,6.99,3.4,98,True,none,
82,55198,542,110.7,111.3,56.0,96.6,0.506,7.39,2.2,100,True,none,
83,55749,551,108.9,109.8,52.8,95.9,0.578,7.47,4.7,95,True,none,
84,56282,533,112.6,110.7,55.8,96.0,0.538,7.78,2.1,95,True,none,
85,56815,533,112.6,110.5,56.4,98.7,0.484,8.2,6.6,99,True,none,
86,57358,543,110.5,111.0,53.7,97.9,0.541,7.56,2.0,95,True,none,
87,57917,559,107.3,110.3,53.7,99.0,0.532,6.08,2.6,102,True,none,
88,58469,552,108.7,110.3,55.5,98.3,0.504,7.55,0.6,96,True,none,
89,58990,521,115.2,110.8,53.4,96.8,0.478,7.42,0.5,102,True,none,
90,59549,559,107.3,109.7,55.8,95.8,0.51,7.17,0.7,101,True,none,
91,60090,541,110.9,109.8,54.3,97.0,0.557,7.52,0.7,99,True,none,
92,60609,519,115.6,111.4,55.2,96.3,0.534,7.88,1.1,96,True,none,
93,61170,561,107.0,111.1,57.2,96.7,0.543,7.39,1.6,98,True,none,
94,61727,557,107.7,109.6,55.7,96.5,0.488,7.09,3.7,98,True,none,
95,62277,550,109.1,110.0,54.4,97.0,0.516,7.24,2.4,101,True,none,
96,62818,541,110.9,110.0,53.8,98.0,0.526,6.76,1.6,98,True,none,
97,63361,543,110.5,109.0,55.1,99.1,0.494,7.83,0.6,101,True,none,
98,63886,525,114.3,110.5,54.0,95.3,0.504,7.49,3.0,101,True,none,
99,64406,520,115.4,112.0,54.4,97.7,0.467,7.19,4.1,98,True,none,
100,64970,564,106.4,111.4,55.3,97.2,0.455,7.22,2.4,103,True,none,
101,65519,549,109.3,111.1,54.6,99.6,0.568,6.78,3.0,99,True,none,
102,66033,514,116.7,112.3,54.4,94.3,0.5,7.54,4.2,101,False,none,
103,66569,536,111.9,111.8,53.7,97.3,0.484,7.72,2.6,98,True,none,
105,71477,546,109.9,110.7,55.5,99.0,0.489,7.12,0.6,99,True,none,
106,72018,541,110.9,111.7,55.4,95.2,0.529,7.09,2.9,100,True,none,
107,72565,547,109.7,111.8,54.8,96.1,0.46,7.82,0.7,99,True,none,
108,73099,534,112.4,110.9,54.6,98.9,0.515,7.99,0.5,97,True,none,
109,73650,551,108.9,110.3,54.6,93.5,0.507,6.83,0.9,98,False,none,
110,74225,575,104.3,109.2,54.4,93.7,0.489,6.85,0.9,100,False,none,
111,74797,572,104.9,108.0,54.1,97.0,0.487,6.61,0.7,101,True,none,
112,75352,555,108.1,107.6,55.5,100.0,0.497,7.64,0.6,96,True,none,
113,75904,552,108.7,107.0,56.2,99.1,0.491,7.69,1.9,99,True,none,
114,76442,538,111.5,107.4,55.1,98.3,0.474,7.33,2.1,101,True,none,
115,76961,519,115.6,109.6,54.1,96.3,0.506,7.89,3.0,102,True,none,
116,77503,542,110.7,110.9,53.8,100.0,0.486,7.42,3.9,102,True,none,
117,78057,554,108.3,110.9,54.1,96.0,0.494,6.88,0.2,98,True,none,
118,78603,546,109.9,111.2,54.2,97.5,0.52,7.06,1.4,98,True,none,
119,79134,531,113.0,111.4,55.1,97.7,0.48,7.96,1.9,98,True,none,
120,79689,555,108.1,110.0,57.1,99.6,0.49,7.59,2.6,98,True,none,
121,80201,512,117.2,111.2,53.1,94.4,0.552,8.13,0.8,101,False,none,
122,80714,513,117.0,112.9,54.8,95.6,0.551,8.22,2.6,101,True,none,
123,81253,539,111.3,113.2,54.7,99.4,0.475,7.39,3.0,102,True,none,
124,81810,557,107.7,112.1,55.8,95.9,0.457,6.82,1.8,102,True,none,
125,82351,541,110.9,112.7,55.0,95.5,0.54,7.14,0.6,103,True,none,
126,82890,539,111.3,111.6,55.1,96.2,0.528,7.68,1.7,98,True,none,
127,83431,541,110.9,110.4,56.0,96.2,0.487,7.78,0.9,102,True,none,
129,88993,540,111.1,110.4,56.2,97.1,0.499,8.05,5.7,102,True,resume_compressions,1.0
130,89525,532,112.8,111.4,53.1,94.6,0.503,7.24,2.4,101,False,none,
131,90096,571,105.1,110.2,54.4,99.3,0.545,6.39,2.2,100,True,none,
132,90624,528,113.6,110.6,55.1,93.5,0.536,7.58,2.3,98,False,none,
133,91161,537,111.7,110.8,55.5,97.3,0.537,8.21,1.9,100,True,none,
134,91698,537,111.7,110.9,54.5,98.4,0.529,7.39,1.4,102,True,none,
135,92242,544,110.3,110.4,55.4,94.3,0.564,7.06,2.8,102,False,none,
136,92770,528,113.6,112.2,54.8,96.6,0.503,7.83,0.9,102,True,none,
137,93336,566,106.0,110.6,56.6,95.2,0.462,6.86,3.7,98,True,none,
138,93889,553,108.5,110.0,54.6,97.6,0.468,6.68,0.1,100,True,none,
139,94403,514,116.7,110.9,52.8,94.6,0.483,7.81,0.4,100,False,none,
140,94977,574,104.5,109.7,56.2,98.5,0.504,6.85,2.4,101,True,none,
141,95512,535,112.1,109.4,53.4,97.6,0.445,7.27,1.3,101,True,none,
142,96050,538,111.5,110.5,55.9,97.2,0.528,7.62,0.5,102,True,none,
143,96603,553,108.5,110.5,54.6,96.8,0.513,7.24,1.6,104,True,none,
144,97155,552,108.7,109.0,54.0,97.7,0.486,7.09,2.3,101,True,none,
145,97703,548,109.5,110.1,54.1,97.0,0.452,7.19,1.3,101,True,none,
146,98239,536,111.9,110.0,55.1,96.6,0.501,8.15,6.0,97,True,none,
147,98769,530,113.2,110.3,55.6,95.5,0.5,7.17,3.5,101,True,none,
148,99336,567,105.8,109.8,56.6,95.6,0.474,6.8,2.3,101,True,none,
149,99877,541,110.9,110.2,54.6,96.4,0.482,7.57,4.6,103,True,none,
150,100417,540,111.1,110.5,55.3,97.4,0.526,7.48,1.2,101,True,none,
151,100964,547,109.7,110.1,55.7,96.5,0.49,7.25,0.3,101,True,none,
153,104857,562,106.8,108.8,55.6,94.6,0.508,6.76,4.7,101,False,none,
154,105436,579,103.6,108.3,54.7,95.8,0.521,6.3,1.8,100,True,none,
155,105942,506,118.6,109.7,55.1,96.0,0.464,8.91,2.6,102,True,none,
156,106448,506,118.6,111.1,52.6,96.6,0.503,8.22,5.7,103,True,none,
157,107012,564,106.4,110.4,54.6,97.6,0.566,6.49,1.2,103,True,none,
158,107536,524,114.5,112.0,57.3,98.0,0.503,8.21,2.0,103,True,none,
159,108079,543,110.5,113.5,56.0,98.3,0.478,7.04,0.1,101,True,none,
160,108625,546,109.9,111.8,53.9,94.6,0.515,7.15,0.0,102,False,none,
161,109180,555,108.1,109.8,56.3,96.6,0.525,7.24,2.6,106,True,none,
162,109743,563,106.6,109.8,55.4,96.5,0.526,6.75,6.5,105,True,none,
163,110305,562,106.8,108.3,54.1,96.6,0.506,7.04,2.0,101,True,none,
164,110830,525,114.3,109.1,55.8,98.2,0.514,8.13,1.9,106,True,none,
165,111400,570,105.3,108.1,54.9,96.7,0.506,6.66,1.5,102,True,none,
166,111944,544,110.3,108.5,55.5,97.1,0.478,7.17,0.3,101,True,none,
167,112482,538,111.5,109.5,55.3,98.8,0.504,7.8,0.2,103,True,none,
