compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,541,541,110.9,110.9,53.5,96.5,0.504,6.92,2.9,102,True,none,
2,1088,547,109.7,110.3,54.0,98.6,0.458,7.38,0.6,95,True,none,
3,1626,538,111.5,110.7,55.8,97.6,0.494,7.5,2.6,99,True,none,
4,2193,567,105.8,109.4,52.1,96.6,0.454,6.64,3.4,105,True,none,
5,2728,535,112.1,110.0,55.8,96.8,0.504,7.54,3.9,98,True,none,
6,3291,563,106.6,109.1,54.9,96.8,0.503,6.79,1.2,96,True,none,
7,3813,522,114.9,110.1,53.3,97.0,0.527,7.5,0.0,96,True,none,
8,4387,574,104.5,108.7,52.0,98.3,0.522,5.8,4.9,103,True,none,
9,4910,523,114.7,110.4,56.7,94.2,0.503,8.0,8.4,98,False,none,
10,5467,557,107.7,109.5,55.4,96.3,0.482,7.1,2.1,101,True,none,
11,6001,534,112.4,110.7,54.3,96.9,0.438,7.57,1.8,100,True,none,
12,6541,540,111.1,110.0,52.8,97.9,0.491,7.26,0.1,93,True,none,
13,7085,544,110.3,111.2,51.3,97.5,0.487,7.15,1.9,99,True,none,
14,7621,536,111.9,110.7,56.4,94.3,0.481,7.28,0.4,99,False,none,
15,8185,564,106.4,110.4,52.8,95.8,0.448,6.43,8.3,99,True,none,
16,8752,567,105.8,109.1,55.6,96.1,0.454,7.22,2.8,97,True,none,
17,9271,519,115.6,109.9,49.7,94.2,0.541,7.46,1.0,101,False,none,
18,9796,525,114.3,110.7,53.6,96.6,0.52,7.25,0.9,100,True,none,
19,10334,538,111.5,110.6,54.5,98.2,0.522,7.41,4.4,102,True,none,
20,10839,505,118.8,113.0,52.7,94.8,0.527,8.71,3.4,101,False,none,
21,11420,581,103.3,112.4,51.6,97.1,0.468,6.22,2.6,103,True,none,
22,11959,539,111.3,111.6,55.6,97.7,0.486,7.08,2.0,96,True,none,
23,12504,545,110.1,110.8,55.7,95.6,0.503,7.64,0.8,98,True,none,
24,13047,543,110.5,110.6,52.5,97.1,0.477,6.8,1.6,100,True,none,
25,13570,523,114.7,109.8,51.4,96.8,0.446,7.29,2.4,104,True,none,
26,14139,569,105.4,110.3,51.0,94.3,0.5,6.25,1.0,102,False,none,
27,14660,521,115.2,111.1,53.0,95.6,0.479,7.48,1.1,95,True,none,
29,19051,551,108.9,110.8,51.7,95.4,0.482,6.2,3.5,105,True,none,
30,19552,501,119.8,112.6,55.6,96.0,0.511,9.59,0.6,98,True,none,
31,20089,537,111.7,112.0,57.2,98.7,0.51,8.44,2.1,98,True,none,
32,20654,566,106.0,112.1,53.5,94.3,0.454,7.03,4.4,105,False,none,
33,21171,517,116.1,112.3,57.1,96.9,0.48,8.43,0.0,102,True,none,
34,21712,541,110.9,112.7,55.8,93.9,0.525,7.57,2.3,105,False,none,
35,22238,526,114.1,111.6,54.1,97.3,0.509,7.36,1.4,98,True,none,
36,22755,517,116.1,112.5,57.0,96.8,0.508,8.76,0.7,100,True,none,
37,23279,524,114.5,114.3,54.8,97.7,0.539,7.64,4.4,107,True,none,
38,23842,562,106.8,112.4,55.4,97.7,0.51,7.26,6.4,108,True,none,
39,24395,553,108.5,111.9,54.1,95.1,0.496,6.83,1.0,98,True,none,
