compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,491,491,122.2,122.2,51.8,85.8,0.483,8.6,1.9,115,False,none,
2,960,469,127.9,125.0,49.4,92.8,0.468,9.08,1.4,105,False,none,
3,1518,558,107.5,118.6,43.8,91.1,0.513,5.45,2.1,117,False,push_harder,3.0
4,1973,455,131.9,121.6,51.5,90.7,0.498,10.02,2.6,112,False,none,
5,2431,458,131.0,123.4,55.7,100.0,0.475,10.51,1.6,113,False,none,
6,2861,430,139.5,126.6,61.2,88.2,0.472,13.04,2.9,107,False,none,
7,3367,506,118.6,124.6,61.1,87.9,0.542,9.23,0.3,102,False,none,
8,3857,490,122.4,128.3,52.1,96.4,0.537,8.61,2.0,118,False,none,
9,4297,440,136.4,129.1,56.9,94.1,0.533,11.7,0.1,107,False,none,
10,4774,477,125.8,128.0,65.7,88.2,0.52,11.27,0.5,110,False,none,
11,5167,393,152.7,130.1,54.8,86.2,0.463,13.95,1.7,110,False,none,
12,5692,525,114.3,129.0,60.5,87.2,0.514,9.1,1.7,104,False,none,
13,6202,510,117.6,127.9,60.8,84.1,0.534,9.42,1.9,124,False,none,
14,6719,517,116.1,123.9,58.5,83.5,0.54,8.19,5.7,117,False,slower,2.0
15,7312,593,101.2,118.2,45.7,87.1,0.502,4.9,2.3,115,False,none,
16,7874,562,106.8,110.8,48.1,84.0,0.436,5.96,1.8,110,False,none,
17,8502,628,95.5,106.8,42.3,70.2,0.551,4.29,0.9,108,False,none,
18,9146,644,93.2,101.9,45.1,76.4,0.478,4.72,1.4,110,False,none,
19,9789,643,93.3,97.7,29.9,80.5,0.51,3.09,5.2,113,False,none,
20,10405,616,97.4,97.0,46.2,96.0,0.427,5.13,2.1,113,False,none,
21,11045,640,93.8,94.6,35.4,87.8,0.469,3.63,1.6,112,False,none,
22,11761,716,83.8,92.1,38.8,100.0,0.478,3.21,0.1,109,False,faster,2.0
23,12289,528,113.6,95.5,38.4,98.8,0.514,5.74,1.7,110,False,none,
24,12874,585,102.6,97.2,45.4,100.0,0.519,5.06,0.1,115,False,none,
25,13365,491,122.2,101.4,41.5,100.0,0.513,7.11,2.7,110,False,none,
26,13849,484,124.0,107.0,36.0,96.6,0.452,6.16,5.5,115,False,none,
27,14358,509,117.9,115.5,37.0,95.2,0.533,6.04,1.0,117,False,none,
28,14838,480,125.0,117.7,36.5,95.1,0.471,6.16,6.5,121,False,none,
29,15294,456,131.6,124.0,38.9,87.2,0.501,6.77,1.6,115,False,none,
30,15780,486,123.5,124.2,45.5,81.1,0.448,7.68,2.3,107,False,none,
31,16207,427,140.5,127.2,39.7,81.8,0.513,8.34,0.7,111,False,none,
32,16649,442,135.7,130.9,41.9,85.9,0.505,8.18,0.0,114,False,none,
33,17129,480,125.0,130.9,42.4,70.9,0.511,7.28,1.6,100,False,slower,2.0
34,17612,483,124.2,129.4,52.7,81.7,0.496,8.64,0.9,117,False,none,
35,18037,425,141.2,132.9,61.4,71.2,0.528,13.68,0.5,118,False,none,
36,18550,513,117.0,128.0,66.4,77.4,0.518,10.29,2.4,115,False,none,
37,19067,517,116.1,124.1,61.0,82.3,0.467,9.11,3.1,105,False,none,
38,19652,585,102.6,118.9,68.4,80.0,0.472,7.78,2.0,116,False,none,
39,20309,657,91.3,111.2,60.6,93.5,0.455,5.75,1.3,106,False,none,
40,20872,563,106.6,105.8,65.8,99.0,0.446,8.16,2.2,117,False,none,
41,21556,684,87.7,99.8,58.1,100.0,0.453,5.11,3.1,121,False,none,
42,22378,822,73.0,90.6,64.8,100.0,0.497,3.87,5.2,111,False,faster,2.0
43,23037,659,91.0,88.6,54.8,94.5,0.491,5.15,2.0,120,False,none,
44,23817,780,76.9,85.5,53.9,93.6,0.5,2.99,0.1,117,False,none,
45,24451,634,94.6,83.8,48.9,92.8,0.485,4.85,1.7,108,False,none,
46,25013,562,106.8,86.8,56.3,87.2,0.45,6.81,2.4,118,False,none,
47,25580,567,105.8,93.7,47.8,87.9,0.501,6.21,2.7,116,False,none,
48,26145,565,106.2,96.5,54.0,75.4,0.513,6.99,2.7,116,False,none,
49,26643,498,120.5,106.2,41.1,78.3,0.502,6.51,1.8,119,False,none,
50,27189,546,109.9,109.6,47.4,77.5,0.54,6.33,2.2,111,False,none,
51,27652,463,129.6,113.7,38.8,83.2,0.553,7.79,0.5,113,False,push_harder,3.0
52,28111,459,130.7,118.5,38.4,84.4,0.521,7.02,3.1,111,False,none,
53,28571,460,130.4,123.7,42.4,72.0,0.5,8.13,6.8,118,False,none,
54,29076,505,118.8,123.3,35.5,76.2,0.496,5.75,4.1,124,False,none,
55,29549,473,126.8,127.1,40.3,88.3,0.511,6.84,0.8,109,False,none,
56,30058,509,117.9,124.7,32.6,88.4,0.479,5.36,0.9,106,False,none,
57,30571,513,117.0,122.0,41.8,96.5,0.529,6.69,5.2,118,False,none,
