compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,431,431,139.2,139.2,39.4,77.3,0.514,8.62,3.0,114,False,none,
2,845,414,144.9,142.0,33.6,74.5,0.525,8.26,5.1,116,False,none,
3,1288,443,135.4,139.8,40.5,79.3,0.477,8.67,4.0,112,False,slower,2.0
4,1746,458,131.0,137.5,39.8,78.0,0.465,7.56,1.9,119,False,none,
5,2251,505,118.8,133.3,36.2,81.6,0.463,5.66,1.3,112,False,none,
6,2687,436,137.6,133.0,40.4,83.2,0.499,8.37,5.8,117,False,none,
7,3131,445,134.8,131.2,35.4,75.1,0.525,6.75,0.8,113,False,none,
8,3586,454,132.2,130.5,37.6,86.6,0.46,7.13,0.8,119,False,none,
9,4029,443,135.4,131.4,41.4,76.6,0.501,8.3,2.6,120,False,none,
10,4477,448,133.9,134.8,39.8,82.0,0.492,8.07,0.8,117,False,none,
11,4923,446,134.5,134.2,39.8,79.6,0.519,7.74,3.0,120,False,none,
12,5364,441,136.1,134.4,41.9,79.0,0.504,8.21,1.7,119,False,none,
13,5794,430,139.5,135.9,40.8,76.6,0.52,8.52,1.9,118,False,none,
14,6266,472,127.1,134.1,38.4,81.5,0.534,6.64,3.6,112,False,none,
15,6753,487,123.2,131.8,32.7,80.9,0.469,5.56,0.8,111,False,slower,2.0
16,7204,451,133.0,131.5,40.4,83.1,0.536,7.79,0.9,121,False,none,
17,7652,448,133.9,131.1,45.8,80.0,0.557,8.52,1.6,116,False,none,
18,8102,450,133.3,130.0,44.3,76.1,0.498,9.32,0.1,114,False,none,
19,8562,460,130.4,130.7,36.9,82.0,0.501,6.7,1.1,120,False,none,
20,8992,430,139.5,134.0,32.1,81.6,0.495,6.75,1.8,118,False,none,
21,9426,434,138.2,135.0,42.4,78.0,0.527,9.14,4.9,112,False,none,
22,9898,472,127.1,133.6,41.6,81.5,0.498,6.99,2.4,109,False,none,
23,10383,485,123.7,131.5,40.9,78.6,0.446,6.43,0.2,116,False,none,
24,10851,469,127.9,131.0,39.3,82.7,0.401,7.68,0.8,115,False,none,
25,11314,463,129.6,129.1,50.6,81.7,0.446,9.62,3.8,118,False,none,
26,11738,424,141.5,129.7,44.2,81.6,0.503,9.79,1.1,117,False,none,
27,12196,458,131.0,130.5,37.9,81.0,0.471,7.24,3.4,122,False,slower,2.0
28,12650,454,132.2,132.3,38.2,77.9,0.491,7.21,2.6,116,False,none,
29,13142,492,122.0,130.9,36.5,83.0,0.523,6.03,4.3,113,False,none,
30,13600,458,131.0,131.2,37.6,87.3,0.613,7.15,2.8,112,False,none,
31,14054,454,132.2,129.5,43.8,84.7,0.495,8.3,1.3,116,False,none,
32,14508,454,132.2,129.8,38.5,84.3,0.494,7.76,0.1,117,False,none,
33,14987,479,125.3,128.4,43.4,78.2,0.518,7.26,0.6,118,False,none,
34,15472,485,123.7,128.8,44.3,82.8,0.526,7.73,3.5,106,False,none,
35,15932,460,130.4,128.6,45.3,84.7,0.463,7.93,0.1,116,False,none,
36,16406,473,126.8,127.6,46.7,84.4,0.453,8.47,2.6,117,False,none,
37,16894,488,123.0,125.8,45.6,86.0,0.518,7.97,6.1,113,False,none,
38,17360,466,128.8,126.5,42.6,82.1,0.494,7.61,0.7,111,False,slower,2.0
39,17798,438,137.0,129.0,45.3,86.2,0.501,8.98,1.1,117,False,none,
40,18284,486,123.5,127.6,43.0,84.6,0.506,7.47,2.1,113,False,none,
41,18756,472,127.1,127.7,39.0,82.5,0.545,7.03,0.5,118,False,none,
42,19216,460,130.4,129.2,42.0,83.8,0.49,8.12,1.3,114,False,none,
43,19701,485,123.7,128.2,46.4,79.9,0.503,7.82,1.6,115,False,none,
44,20167,466,128.8,126.6,42.0,86.7,0.471,7.84,2.5,118,False,none,
45,20661,494,121.5,126.2,45.1,85.0,0.509,7.67,5.3,115,False,none,
46,21119,458,131.0,127.0,48.3,78.4,0.508,9.25,2.9,116,False,none,
47,21610,491,122.2,125.3,53.1,86.0,0.489,8.41,0.6,117,False,none,
48,22059,449,133.6,127.2,42.0,88.2,0.515,8.62,1.1,116,False,none,
49,22536,477,125.8,126.6,47.1,85.2,0.462,8.14,3.5,119,False,slower,2.0
50,23028,492,122.0,126.7,43.3,87.5,0.505,7.24,0.9,116,False,none,
51,23497,469,127.9,126.2,43.8,81.4,0.468,7.63,1.6,117,False,none,
52,24008,511,117.4,125.1,46.0,84.5,0.461,6.53,3.4,114,False,none,
53,24491,483,124.2,123.4,45.5,87.0,0.464,7.36,3.5,113,False,none,
54,24996,505,118.8,122.0,43.0,85.5,0.483,6.57,1.0,116,False,none,
55,25481,485,123.7,122.3,46.4,89.5,0.53,7.71,2.5,117,False,none,
56,25964,483,124.2,121.6,44.8,88.6,0.545,7.16,1.2,116,False,none,
57,26427,463,129.6,124.0,44.3,91.2,0.482,8.3,5.1,121,False,none,
58,26947,520,115.4,122.1,42.5,91.2,0.519,5.85,3.0,116,False,none,
59,27443,496,121.0,122.6,49.4,86.2,0.501,7.71,4.9,121,False,none,
60,27943,500,120.0,121.9,46.4,85.6,0.528,7.33,2.6,122,False,slower,2.0
61,28396,453,132.5,123.4,42.5,91.4,0.491,8.21,0.4,118,False,none,
62,28855,459,130.7,123.6,47.7,90.0,0.539,8.93,0.0,118,False,none,
63,29362,507,118.3,124.2,42.9,89.8,0.47,6.56,4.1,114,False,none,
64,29847,485,123.7,124.8,48.3,85.8,0.533,7.99,3.7,115,False,none,
