compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,411,411,146.0,146.0,36.4,80.6,0.534,8.35,4.0,137,False,none,
2,827,416,144.2,145.1,36.2,87.3,0.491,8.08,0.4,133,False,none,
3,1225,398,150.8,146.9,35.3,82.7,0.541,8.74,0.5,125,False,slower,2.0
4,1641,416,144.2,146.3,34.6,81.7,0.47,8.16,2.9,130,False,none,
5,2060,419,143.2,145.6,34.8,76.1,0.519,7.73,1.7,131,False,none,
6,2455,395,151.9,146.8,41.4,85.6,0.531,11.05,1.0,133,False,none,
7,2885,430,139.5,145.8,38.5,86.2,0.515,8.09,3.5,124,False,none,
8,3314,429,139.9,143.6,31.7,85.1,0.507,6.82,0.5,132,False,none,
9,3735,421,142.5,143.3,40.4,75.7,0.44,9.23,3.7,124,False,none,
10,4160,425,141.2,142.9,31.1,74.8,0.487,6.58,5.7,125,False,none,
11,4580,420,142.9,141.2,39.0,79.5,0.536,8.66,1.6,130,False,none,
12,4974,394,152.3,143.6,35.4,85.5,0.488,9.52,0.3,133,False,none,
13,5383,409,146.7,145.0,36.6,81.7,0.421,8.38,1.4,134,False,none,
14,5825,442,135.7,143.5,35.1,78.3,0.526,7.14,5.1,136,False,none,
15,6268,443,135.4,142.3,33.9,77.6,0.526,7.0,4.2,137,False,slower,2.0
16,6665,397,151.1,143.9,34.4,81.2,0.524,8.16,0.5,130,False,none,
17,7084,419,143.2,142.2,34.6,85.1,0.483,8.48,3.9,127,False,none,
18,7504,420,142.9,141.4,37.6,79.3,0.511,8.17,1.0,129,False,none,
19,7914,411,146.0,143.5,38.5,81.3,0.57,8.91,1.6,134,False,none,
20,8341,426,140.8,144.7,32.3,90.4,0.511,7.29,7.9,131,False,none,
21,8783,443,135.4,141.6,37.0,80.3,0.523,7.94,4.5,138,False,none,
22,9210,427,140.5,141.0,33.7,82.9,0.509,7.26,6.4,129,False,none,
23,9623,413,145.3,141.5,34.7,85.0,0.512,8.02,1.3,132,False,none,
24,10046,423,141.8,140.7,34.7,81.4,0.49,7.83,3.4,132,False,none,
25,10460,414,144.9,141.5,30.5,77.0,0.468,6.83,1.4,128,False,none,
26,10892,432,138.9,142.2,32.5,80.0,0.515,6.59,4.1,126,False,none,
27,11283,390,153.8,144.8,39.5,79.1,0.548,11.08,2.5,130,False,slower,2.0
28,11692,409,146.7,145.1,30.7,82.4,0.511,7.16,5.7,127,False,none,
29,12133,441,136.1,143.8,30.8,86.9,0.511,6.18,1.7,123,False,none,
30,12548,415,144.6,143.7,37.3,81.5,0.48,8.81,1.7,128,False,none,
31,12972,424,141.5,144.3,32.6,83.3,0.495,6.74,1.0,138,False,none,
32,13401,429,139.9,141.6,34.5,79.5,0.578,6.91,6.4,134,False,none,
