compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,570,570,105.3,105.3,57.3,95.0,0.512,6.88,2.3,86,True,none,
2,1103,533,112.6,108.8,57.7,100.0,0.526,7.6,3.3,85,True,none,
3,1643,540,111.1,109.6,55.8,98.9,0.501,7.94,2.0,91,True,none,
4,2181,538,111.5,110.0,56.9,99.1,0.467,7.46,2.2,89,True,none,
5,2763,582,103.1,108.6,53.0,100.0,0.512,6.1,4.5,89,True,none,
6,3311,548,109.5,109.4,54.7,98.7,0.544,7.21,1.4,88,True,none,
7,3849,538,111.5,109.2,55.8,98.3,0.472,7.39,2.7,93,True,none,
8,4397,548,109.5,108.9,54.7,94.5,0.463,6.41,0.5,90,False,none,
9,4928,531,113.0,109.2,55.8,100.0,0.531,7.47,1.9,94,True,none,
10,5488,560,107.1,110.1,56.7,96.9,0.513,7.39,2.4,92,True,none,
11,6040,553,108.5,109.9,52.6,100.0,0.517,6.57,1.8,92,True,none,
12,6595,555,108.1,109.2,55.6,97.3,0.48,7.13,0.4,97,True,none,
13,7153,558,107.5,108.8,54.8,96.9,0.504,6.97,0.4,93,True,none,
14,7733,580,103.4,106.9,57.3,96.5,0.521,6.41,1.7,96,True,none,
15,8280,546,109.9,107.4,54.6,95.9,0.492,7.15,2.7,93,True,none,
16,8799,520,115.4,108.7,56.7,97.7,0.523,8.41,1.2,86,True,none,
17,9331,531,113.0,109.7,57.9,100.0,0.449,8.22,1.4,93,True,none,
18,9849,518,115.8,111.3,57.2,98.3,0.472,8.41,2.1,94,True,none,
19,10381,532,112.8,113.3,57.5,96.6,0.554,8.1,1.7,94,True,none,
20,10926,545,110.1,113.4,55.2,92.1,0.508,7.19,7.9,92,False,none,
21,11441,515,116.5,113.6,55.1,98.6,0.477,7.99,5.4,102,True,none,
22,11979,538,111.5,113.3,56.5,97.3,0.449,8.13,5.7,91,True,none,
23,12508,529,113.4,112.8,53.6,93.6,0.564,7.41,0.4,93,False,none,
24,13032,524,114.5,113.2,54.5,98.6,0.502,8.03,0.5,94,True,none,
25,13544,512,117.2,114.6,53.4,94.6,0.498,8.06,2.1,96,False,none,
26,14093,549,109.3,113.1,57.4,94.0,0.468,7.54,6.1,92,False,none,
27,14620,527,113.9,113.6,55.4,92.1,0.478,8.26,0.0,92,False,let_chest_up,4.0
28,15161,541,110.9,113.1,55.6,92.0,0.5,7.22,1.9,92,False,none,
29,15701,540,111.1,112.4,54.2,96.0,0.47,7.77,0.3,100,True,none,
30,16228,527,113.9,111.8,55.4,96.9,0.482,8.26,0.6,94,True,none,
31,16773,545,110.1,111.9,54.5,97.0,0.465,7.9,0.4,98,True,none,
32,17307,534,112.4,111.6,54.7,95.8,0.491,7.65,1.1,92,True,none,
33,17851,544,110.3,111.5,54.9,95.7,0.469,7.55,0.2,100,True,none,
34,18380,529,113.4,112.0,54.2,93.0,0.519,8.42,1.5,98,False,none,
35,18900,520,115.4,112.3,50.7,97.0,0.535,7.5,0.2,97,True,none,
36,19475,575,104.3,111.0,55.4,97.5,0.483,6.7,5.1,97,True,none,
37,20003,528,113.6,111.3,52.6,94.1,0.543,7.43,2.5,95,False,none,
38,20518,515,116.5,112.5,56.5,95.3,0.49,8.5,1.3,99,True,none,
39,21052,534,112.4,112.3,54.7,94.9,0.507,7.13,0.0,97,False,none,
40,21580,528,113.6,111.9,53.0,93.2,0.478,7.28,1.7,99,False,none,
41,22131,552,108.7,112.9,51.0,97.7,0.494,6.42,2.7,98,True,none,
42,22654,523,114.7,113.1,55.0,96.5,0.54,8.33,0.1,97,True,none,
43,23185,530,113.2,112.5,53.1,94.1,0.5,7.55,2.3,102,False,none,
44,23714,529,113.4,112.7,53.7,94.5,0.513,7.34,2.4,97,False,none,
45,24238,524,114.5,112.9,52.1,93.6,0.467,7.01,4.3,102,False,let_chest_up,4.0
46,24752,514,116.7,114.5,52.8,90.6,0.485,8.06,1.9,105,False,none,
47,25310,558,107.5,113.0,51.8,94.3,0.456,6.61,5.8,96,False,none,
48,25865,555,108.1,111.9,52.8,96.5,0.529,6.67,4.4,104,True,none,
49,26401,537,111.7,111.6,50.9,96.4,0.475,7.46,1.3,102,True,none,
50,26921,520,115.4,111.8,55.6,100.0,0.513,8.29,0.5,98,True,none,
51,27429,508,118.1,112.0,52.6,96.7,0.518,8.15,1.5,102,True,none,
52,27965,536,111.9,113.0,53.2,94.9,0.497,7.09,0.2,100,False,none,
53,28529,564,106.4,112.6,54.6,95.2,0.528,6.73,1.5,104,True,none,
54,29057,528,113.6,113.0,53.8,94.8,0.466,7.11,0.3,104,False,none,
55,29604,547,109.7,111.8,53.8,92.8,0.495,6.98,2.5,99,False,none,
56,30123,519,115.6,111.4,53.6,94.7,0.524,7.72,5.7,107,False,let_chest_up,4.0
57,30665,542,110.7,111.1,55.2,96.7,0.524,7.88,1.0,99,True,none,
58,31181,516,116.3,113.1,54.6,92.7,0.48,7.87,3.0,108,False,none,
59,31677,496,121.0,114.5,54.2,97.2,0.466,8.58,0.2,102,True,none,
60,32196,519,115.6,115.7,50.9,91.8,0.509,7.07,4.5,103,False,none,
61,32733,537,111.7,114.9,52.6,92.8,0.477,7.5,3.8,103,False,none,
62,33266,533,112.6,115.3,52.5,93.2,0.48,6.77,4.8,105,False,none,
63,33781,514,116.7,115.4,52.5,93.4,0.53,8.31,2.1,104,False,none,
64,34336,556,107.9,112.8,52.6,89.2,0.468,6.73,1.6,111,False,none,
65,34836,500,120.0,113.6,51.8,90.0,0.498,8.1,4.6,105,False,none,
66,35364,527,113.9,114.1,49.6,93.5,0.528,7.32,1.7,100,False,push_harder,3.0
67,35896,532,112.8,114.1,54.2,91.2,0.476,7.72,3.9,101,False,none,
68,36460,564,106.4,112.0,50.7,91.4,0.525,6.17,0.4,100,False,none,
69,36994,534,112.4,112.9,54.2,94.7,0.464,7.49,5.9,102,False,none,
70,37535,541,110.9,111.2,51.9,90.9,0.484,7.06,1.8,107,False,none,
71,38084,550,109.1,110.3,51.2,90.1,0.551,6.6,4.1,108,False,none,
72,38608,524,114.5,110.6,51.6,91.8,0.497,7.33,1.8,104,False,none,
73,39146,538,111.5,111.6,51.8,90.9,0.517,7.22,6.8,105,False,none,
74,39680,534,112.4,111.6,47.5,93.3,0.441,6.42,0.3,103,False,none,
75,40218,538,111.5,111.8,51.9,91.3,0.538,7.06,2.3,106,False,none,
76,40753,535,112.1,112.4,50.6,92.8,0.5,6.93,1.6,107,False,let_chest_up,4.0
77,41268,515,116.5,112.8,51.8,90.7,0.492,7.45,0.8,109,False,none,
78,41793,525,114.3,113.3,50.2,94.0,0.491,7.38,5.1,104,False,none,
79,42302,509,117.9,114.4,51.5,94.9,0.459,7.93,1.8,106,False,none,
80,42835,533,112.6,114.6,48.9,94.3,0.522,6.98,4.0,109,False,none,
81,43339,504,119.0,116.0,50.2,90.2,0.526,7.82,4.7,109,False,none,
82,43875,536,111.9,115.1,49.4,92.1,0.489,7.38,0.1,104,False,none,
83,44411,536,111.9,114.6,51.8,88.0,0.551,7.26,4.2,111,False,none,
84,44950,539,111.3,113.3,50.1,90.3,0.473,6.59,0.6,112,False,none,
85,45473,523,114.7,113.7,53.1,92.2,0.489,7.12,0.1,110,False,none,
86,46030,557,107.7,111.5,47.2,91.8,0.52,5.86,0.4,115,False,push_harder,3.0
87,46579,549,109.3,110.9,49.5,95.0,0.515,6.28,2.5,108,False,none,
88,47124,545,110.1,110.6,49.8,94.3,0.501,6.39,2.0,114,False,none,
89,47676,552,108.7,110.1,49.3,91.2,0.555,6.42,6.4,106,False,none,
90,48205,529,113.4,109.8,51.2,90.0,0.493,7.62,0.7,115,False,none,
91,48736,530,113.2,110.9,50.4,92.8,0.53,6.79,3.4,110,False,none,
92,49265,529,113.4,111.7,49.7,88.0,0.563,6.97,1.9,110,False,none,
93,49797,532,112.8,112.3,49.4,87.6,0.538,7.56,2.1,116,False,none,
94,50339,542,110.7,112.7,50.0,91.1,0.472,7.1,0.5,114,False,none,
95,50839,500,120.0,113.9,51.3,90.6,0.509,8.09,3.4,111,False,none,
96,51342,503,119.3,115.1,50.0,88.8,0.549,7.46,0.8,109,False,push_harder,3.0
97,51858,516,116.3,115.7,49.0,89.6,0.481,7.69,0.4,116,False,none,
98,52381,523,114.7,116.1,46.9,91.3,0.467,6.66,1.2,114,False,none,
99,52920,539,111.3,116.2,50.4,93.2,0.509,6.76,2.7,117,False,none,
100,53440,520,115.4,115.3,49.5,89.5,0.473,7.29,5.2,116,False,none,
101,53980,540,111.1,113.7,48.4,86.6,0.56,6.15,1.7,115,False,none,
102,54507,527,113.9,113.3,51.6,88.6,0.487,7.52,0.5,112,False,none,
103,55016,509,117.9,113.9,50.4,88.1,0.522,8.15,3.5,115,False,none,
104,55505,489,122.7,116.1,51.2,90.4,0.48,8.23,5.7,115,False,none,
105,56018,513,117.0,116.4,50.1,87.2,0.488,7.6,1.1,108,False,none,
