compression_idx,timestamp_ms,interval_ms,instantaneous_rate_bpm,rolling_rate_bpm,estimated_depth_mm,recoil_pct,duty_cycle,peak_accel_mps2,wrist_angle_deg,rescuer_hr_bpm,is_quality_good,instruction,instruction_priority
1,532,532,112.8,112.8,58.9,97.5,0.511,8.45,4.7,92,True,none,
2,1057,525,114.3,113.5,57.4,97.0,0.513,8.31,3.1,92,True,none,
3,1609,553,108.5,111.8,56.0,98.7,0.465,6.81,3.4,91,True,none,
4,2146,536,111.9,111.8,56.9,97.3,0.537,7.94,1.0,93,True,none,
5,2714,568,105.6,110.5,57.2,97.2,0.511,7.16,3.2,94,True,none,
6,3272,558,107.5,109.5,57.8,98.8,0.452,7.27,0.8,91,True,none,
7,3791,519,115.6,109.7,57.3,97.3,0.514,8.6,2.3,91,True,none,
8,4321,530,113.2,110.7,58.3,99.8,0.508,8.11,0.6,96,True,none,
9,4889,568,105.6,109.4,57.6,98.4,0.42,7.66,1.4,90,True,none,
10,5456,567,105.8,109.4,54.9,97.7,0.505,6.84,1.7,89,True,none,
11,6020,564,106.4,109.2,56.2,97.3,0.5,6.9,5.6,91,True,none,
12,6560,540,111.1,108.3,56.4,96.4,0.53,7.21,0.4,94,True,none,
13,7117,557,107.7,107.3,56.7,97.5,0.443,6.66,3.6,93,True,none,
14,7660,543,110.5,108.3,57.5,99.9,0.489,7.94,0.9,95,True,none,
15,8206,546,109.9,109.1,57.2,97.4,0.495,7.16,1.9,92,True,none,
16,8724,518,115.8,110.9,56.8,95.4,0.497,8.6,0.2,92,True,none,
17,9265,541,110.9,110.9,59.1,98.6,0.513,7.93,0.7,92,True,none,
18,9782,517,116.1,112.6,56.6,97.2,0.48,9.17,1.9,97,True,none,
19,10295,513,117.0,113.9,55.8,94.9,0.499,8.01,0.9,94,False,none,
20,10833,538,111.5,114.2,57.1,95.4,0.519,7.48,0.1,96,True,none,
21,11385,552,108.7,112.7,54.2,95.9,0.485,7.16,3.8,93,True,none,
22,11928,543,110.5,112.7,59.9,99.5,0.529,8.41,1.7,93,True,none,
23,12488,560,107.1,110.9,58.0,96.7,0.486,7.14,0.9,94,True,none,
24,13007,519,115.6,110.6,54.9,99.1,0.511,7.86,0.4,88,True,none,
25,13538,531,113.0,110.9,58.3,98.7,0.505,7.62,0.9,92,True,none,
26,14056,518,115.8,112.3,56.0,98.2,0.522,8.22,1.9,95,True,none,
27,14588,532,112.8,112.8,56.2,99.3,0.573,7.45,1.3,96,True,none,
28,15164,576,104.2,112.1,57.8,98.8,0.524,6.75,2.7,93,True,none,
29,15719,555,108.1,110.6,58.7,97.8,0.536,7.04,3.0,95,True,none,
30,16247,528,113.6,110.7,57.2,96.1,0.526,8.28,2.8,99,True,none,
31,16780,533,112.6,110.1,55.1,96.9,0.526,7.57,4.2,92,True,none,
32,17344,564,106.4,108.9,55.7,97.2,0.489,6.97,1.3,93,True,none,
33,17907,563,106.6,109.4,56.7,94.7,0.521,6.96,6.9,92,False,none,
34,18460,553,108.5,109.4,54.5,99.8,0.466,6.89,3.6,91,True,none,
35,19014,554,108.3,108.4,53.8,95.7,0.555,7.06,2.5,94,True,none,
36,19567,553,108.5,107.6,57.1,94.4,0.506,7.37,0.8,94,False,none,
37,20130,563,106.6,107.7,55.5,93.5,0.492,6.56,1.1,95,False,none,
38,20660,530,113.2,109.0,56.7,95.7,0.488,8.0,5.3,93,True,none,
39,21234,574,104.5,108.1,54.5,97.8,0.526,6.19,1.9,94,True,none,
40,21765,531,113.0,109.1,56.4,95.0,0.514,7.76,2.8,94,False,none,
41,22306,541,110.9,109.5,55.8,96.3,0.486,7.41,4.1,94,True,none,
42,22888,582,103.1,108.8,54.5,96.8,0.474,6.35,0.1,95,True,none,
43,23401,513,117.0,109.4,58.4,99.0,0.5,9.08,0.9,94,True,none,
44,23964,563,106.6,109.9,54.8,97.6,0.502,6.82,4.5,94,True,none,
45,24519,555,108.1,108.9,58.5,94.3,0.476,7.31,3.1,94,False,none,
46,25080,561,107.0,108.1,54.0,96.9,0.564,6.57,6.1,93,True,none,
47,25607,527,113.9,110.3,55.9,95.7,0.48,7.85,0.6,97,True,none,
48,26182,575,104.3,107.9,55.0,95.8,0.488,6.65,0.9,95,True,none,
49,26698,516,116.3,109.7,54.6,93.2,0.478,7.81,1.9,94,False,none,
50,27211,513,117.0,111.4,56.9,94.6,0.467,8.77,2.3,94,False,none,
51,27734,523,114.7,113.0,55.7,95.0,0.561,8.05,2.2,93,False,let_chest_up,4.0
52,28265,531,113.0,112.9,53.9,96.1,0.45,7.64,2.7,95,True,none,
53,28789,524,114.5,115.1,55.8,98.7,0.49,7.78,3.1,94,True,none,
54,29308,519,115.6,114.9,54.4,97.5,0.527,7.83,0.6,96,True,none,
55,29868,560,107.1,112.9,57.2,95.0,0.503,6.98,5.0,99,True,none,
56,30412,544,110.3,112.0,55.0,96.4,0.478,7.38,0.9,96,True,none,
57,30954,542,110.7,111.6,55.0,97.5,0.579,7.33,0.6,95,True,none,
58,31525,571,105.1,109.6,54.5,95.8,0.52,7.17,0.7,93,True,none,
59,32071,546,109.9,108.6,55.5,95.6,0.487,7.99,1.5,96,True,none,
60,32609,538,111.5,109.4,54.2,95.2,0.504,7.56,1.3,96,True,none,
61,33193,584,102.7,107.9,53.7,95.7,0.478,6.11,2.7,92,True,none,
62,33725,532,112.8,108.3,54.9,96.8,0.514,7.06,0.3,94,True,none,
63,34249,524,114.5,110.1,53.8,94.1,0.492,7.5,1.5,94,False,none,
64,34780,531,113.0,110.7,54.4,94.3,0.448,7.79,2.0,92,False,none,
65,35317,537,111.7,110.8,55.3,96.3,0.488,7.85,5.5,94,True,none,
66,35853,536,111.9,112.8,56.4,96.1,0.486,7.37,6.5,93,True,none,
67,36423,570,105.3,111.2,51.8,97.7,0.453,6.45,1.4,94,True,none,
68,36982,559,107.3,109.8,50.9,93.8,0.528,6.55,1.4,99,False,none,
69,37525,543,110.5,109.3,56.1,94.9,0.543,7.75,2.3,96,False,none,
70,38050,525,114.3,109.8,54.0,93.4,0.447,7.63,2.6,96,False,let_chest_up,4.0
71,38599,549,109.3,109.2,53.7,93.3,0.532,6.74,2.8,96,False,none,
72,39171,572,104.9,109.2,54.0,93.4,0.477,7.0,3.0,99,False,none,
73,39720,549,109.3,109.6,57.9,93.6,0.462,7.55,2.8,98,False,none,
74,40253,533,112.6,110.0,52.8,96.4,0.471,7.43,0.2,94,True,none,
75,40808,555,108.1,108.8,54.0,95.3,0.543,6.83,0.1,96,True,none,
76,41347,539,111.3,109.2,52.3,94.6,0.5,6.87,5.6,95,False,none,
77,41880,533,112.6,110.7,55.0,96.6,0.506,7.58,4.2,96,True,none,
78,42412,532,112.8,111.4,55.6,94.0,0.558,7.87,0.1,102,False,none,
79,42970,558,107.5,110.4,53.1,94.9,0.513,6.67,4.2,97,False,none,
80,43518,548,109.5,110.7,51.8,95.4,0.439,6.47,2.7,97,True,none,
81,44045,527,113.9,111.2,52.4,96.0,0.46,8.06,5.3,98,True,none,
82,44578,533,112.6,111.2,54.7,97.2,0.525,7.58,1.9,94,True,none,
83,45139,561,107.0,110.0,52.9,94.8,0.538,6.56,0.9,98,False,none,
84,45662,523,114.7,111.4,56.7,94.2,0.537,8.04,3.1,99,False,none,
85,46227,565,106.2,110.7,54.5,95.5,0.488,7.07,2.8,98,True,none,
86,46793,566,106.0,109.2,53.4,94.1,0.511,6.84,0.7,96,False,none,
87,47359,566,106.0,107.9,53.5,97.0,0.49,6.57,4.0,100,True,none,
88,47890,531,113.0,109.1,54.1,95.3,0.466,7.17,6.0,99,True,none,
89,48441,551,108.9,108.0,54.8,94.2,0.479,6.92,4.1,98,False,none,
90,48973,532,112.8,109.2,55.5,95.0,0.53,7.51,6.5,98,True,none,
91,49517,544,110.3,110.1,52.0,95.7,0.509,6.96,2.7,98,True,none,
92,50085,568,105.6,110.1,51.7,92.2,0.478,6.38,2.1,96,False,none,
93,50606,521,115.2,110.5,53.1,92.7,0.536,7.19,4.1,95,False,none,
94,51132,526,114.1,111.5,52.4,96.7,0.491,7.21,1.1,97,True,none,
95,51637,505,118.8,112.6,53.0,93.5,0.505,8.43,3.9,97,False,none,
96,52187,550,109.1,112.4,53.8,95.4,0.464,6.75,4.1,99,True,none,
97,52718,531,113.0,113.9,50.1,93.6,0.496,7.42,5.5,98,False,none,
98,53252,534,112.4,113.4,53.7,95.5,0.463,7.09,3.0,97,True,none,
99,53807,555,108.1,112.1,49.5,95.8,0.501,6.38,0.1,103,False,none,
100,54339,532,112.8,111.0,50.7,93.8,0.487,6.78,4.0,99,False,none,
101,54905,566,106.0,110.4,47.2,92.6,0.496,5.75,0.6,101,False,push_harder,3.0
102,55473,568,105.6,108.9,51.4,93.1,0.484,5.71,0.9,100,False,none,
103,56012,539,111.3,108.7,52.8,95.9,0.522,7.07,1.9,99,True,none,
104,56571,559,107.3,108.5,48.6,94.3,0.527,5.7,0.7,99,False,none,
105,57128,557,107.7,107.6,53.6,96.2,0.488,7.23,1.5,101,True,none,
106,57674,546,109.9,108.3,53.8,93.2,0.439,7.2,3.7,100,False,none,
107,58221,547,109.7,109.2,50.6,95.6,0.473,7.0,6.5,96,True,none,
108,58770,549,109.3,108.8,49.1,95.6,0.478,7.0,2.1,100,False,none,
109,59317,547,109.7,109.2,55.1,94.1,0.516,7.68,3.5,99,False,none,
110,59873,556,107.9,109.3,53.0,93.9,0.556,6.6,2.5,96,False,none,
111,60406,533,112.6,109.8,49.3,92.8,0.464,7.24,6.2,101,False,push_harder,3.0
112,60948,542,110.7,110.0,51.2,93.3,0.541,6.31,1.6,100,False,none,
113,61509,561,107.0,109.5,52.1,92.9,0.555,7.29,1.6,100,False,none,
114,62082,573,104.7,108.5,52.4,94.4,0.49,6.46,1.7,100,False,none,
115,62607,525,114.3,109.7,52.4,95.8,0.511,7.27,5.2,103,True,none,
116,63170,563,106.6,108.5,48.0,95.4,0.503,5.4,0.9,100,False,none,
117,63724,554,108.3,108.1,47.6,93.0,0.532,6.03,1.1,99,False,none,
118,64278,554,108.3,108.3,50.8,93.6,0.566,7.18,2.9,98,False,none,
119,64830,552,108.7,109.2,51.0,96.0,0.461,6.56,5.5,101,True,none,
120,65426,596,100.7,106.4,52.0,89.7,0.577,5.47,1.7,102,False,none,
121,65990,564,106.4,106.4,50.0,93.2,0.556,6.46,1.0,100,False,none,
122,66555,565,106.2,106.0,49.6,92.9,0.532,6.0,3.1,100,False,push_harder,3.0
123,67112,557,107.7,105.9,53.8,95.1,0.546,7.23,5.0,101,True,none,
124,67671,559,107.3,105.6,50.2,93.4,0.479,5.91,1.1,101,False,none,
125,68238,567,105.8,106.7,50.2,93.8,0.459,5.98,0.4,100,False,none,
126,68816,578,103.8,106.2,48.7,95.6,0.461,5.52,1.0,104,False,none,
127,69374,558,107.5,106.4,51.0,92.5,0.527,6.23,2.7,98,False,none,
128,69908,534,112.4,107.3,48.7,95.3,0.456,6.59,0.5,104,False,none,
129,70482,574,104.5,106.7,51.7,96.6,0.505,5.8,4.5,100,True,none,
130,71065,583,102.9,106.1,49.3,91.6,0.465,5.33,3.1,102,False,none,
131,71613,548,109.5,107.3,50.5,91.3,0.465,7.05,0.6,100,False,none,
132,72141,528,113.6,108.4,46.7,92.9,0.518,6.83,1.4,101,False,push_harder,3.0
133,72720,579,103.6,106.7,48.7,92.7,0.512,5.61,0.3,104,False,none,
134,73258,538,111.5,108.1,48.5,92.5,0.472,6.53,1.4,102,False,none,
135,73793,535,112.1,110.0,49.6,94.1,0.498,6.85,4.5,98,False,none,
136,74339,546,109.9,110.1,51.3,93.3,0.545,6.86,1.3,106,False,none,
137,74877,538,111.5,109.6,47.8,93.7,0.489,6.29,1.7,100,False,none,
138,75423,546,109.9,111.0,49.3,93.8,0.48,6.59,2.0,101,False,none,
139,75969,546,109.9,110.7,51.0,93.7,0.51,6.36,2.6,100,False,none,
140,76514,545,110.1,110.3,52.1,92.6,0.51,7.16,2.6,101,False,none,
141,77042,528,113.6,111.0,48.7,92.9,0.498,6.89,2.0,97,False,none,
142,77594,552,108.7,110.4,46.8,93.8,0.532,5.99,2.0,100,False,push_harder,3.0
143,78170,576,104.2,109.2,52.7,90.5,0.492,6.45,3.0,100,False,none,
144,78703,533,112.6,109.7,49.2,94.2,0.542,6.52,3.5,101,False,none,
145,79230,527,113.9,110.5,47.6,89.2,0.471,7.09,2.1,100,False,none,
146,79785,555,108.1,109.4,48.1,93.4,0.511,6.06,5.5,100,False,none,
147,80320,535,112.1,110.1,48.6,92.3,0.496,6.83,0.9,100,False,none,
148,80874,554,108.3,110.9,48.4,91.4,0.509,5.6,1.4,103,False,none,
149,81383,509,117.9,111.9,48.8,93.4,0.427,7.06,1.5,102,False,none,
150,81905,522,114.9,112.1,49.2,91.6,0.526,7.18,0.8,100,False,none,
151,82451,546,109.9,112.5,46.4,94.7,0.512,6.36,2.2,100,False,none,
